Senas ID,Senas autorius,Senas pavadinimas,Sena vieta,Patalpa,Lentyna,Pozicija,Perskaityta autorius,Perskaityta pavadinimas,Panašumas,Pasitikėjimas,Šaltinis,Viršelio nuotrauka,Pastaba
K00522,,Lietuva 1991.01.13,"Spinta D, 2 lentyna",Žagarinė salonas,9,11,,Lietuva 1991.01.13,1,0.9,spine,,"juoda nugarėlė auksinėmis raidėmis, apiplyšusi"
K00523,,Leiskit į tėvynę,"Spinta D, 2 lentyna",Žagarinė salonas,9,13,,Leiskit į Tėvynę,1,0.9,spine,,"gelsva nugarėlė, gotikinis šriftas"
K00524,,Amžino įšalo žemėje,"Spinta D, 2 lentyna",Žagarinė salonas,9,15,,Amžino įšalo žemėje,1,0.9,spine,,kremine nugarėlė su žvakės emblema; autorius nematyti
K00525,,Vasario 16-oji – Lietuvos valstybės atkūrimo diena,"Spinta D, 2 lentyna",Žagarinė salonas,9,16,,Vasario 16-oji – Lietuvos valstybės atkūrimo diena,1,0.9,spine,,stora bordinė knyga
K00527,Petras Klimas,Ilgas kelias viršūnėn: iš mano atsiminimų,"Spinta D, 2 lentyna",Žagarinė salonas,9,18,,Ilgas kelias viršūnėn,0.75,0.9,spine,,juoda nugarėlė su auksiniu ornamentu apačioje; autorius nematyti
K00545,,Kiklopų nelaisvėje,"Spinta D, 2 lentyna",Žagarinė salonas,9,20,Izidorius Ignatavičius,Kiklopų nelaisvėje,1,0.9,spine,,alyvinė nugarėlė
K00546,Olga Merkienė,"Aš – Olga, Juozo žmona","Spinta D, 2 lentyna",Žagarinė salonas,9,21,Olga Merkienė,"Aš – Olga, Juozo žmona",1.15,0.9,spine,,
K00548,Antanina Garmutė,"Motinėle, auginai","Spinta D, 2 lentyna",Žagarinė salonas,9,22,Antanina Garmutė,"Motinėle, auginai",1.15,0.9,spine,,
K00550,Kazimieras Skebėra,Reikėjo mūsų kančių,"Spinta D, 2 lentyna",Žagarinė salonas,9,24,Kazimieras Skėbėra,Reikėjo mūsų kančių,1.15,0.9,spine,,oranžinė nugarėlė
K00551,,Lietuva ir Sąjūdis,"Spinta D, 2 lentyna",Žagarinė salonas,9,25,,Lietuva ir Sąjūdis,1,0.9,spine,,balta nugarėlė; autorius nematyti
K00552,Undinė Nasvytytė,Apie pulką ir mergelę,"Spinta D, 2 lentyna",Žagarinė salonas,9,26,Undinė Nasvytytė,Apie pulką ir mergelę,1.15,0.9,spine,,"raudona nugarėlė, knyga pakrypusi"
K00553,,Darius ir Girėnas,"Spinta D, 2 lentyna",Žagarinė salonas,9,27,,Darius ir Girėnas,1,0.9,spine,,"tamsi, nutrinta nugarėlė, paskutinė lentynoje dešinėje"
K00917,"Jučas, Lukšaitė, Merkys",Lietuvos istorija,"Spinta H, 2 lentyna",Žagarinė salonas,10,1,Zenonas Ivinskis,Lietuvos istorija,1,0.9,spine,,mėlyna kieta nugarėlė
K00530,,Žalgirio mūšis,"Spinta D, 3 lentyna",Žagarinė salonas,10,2,Mečislovas Jučas,Žalgirio mūšis,1,0.9,spine,,
K00531,Stanislovas Kryčinskis,Lietuvos totoriai,"Spinta D, 3 lentyna",Žagarinė salonas,10,3,Stanislovas Kučinskis,Lietuvos totoriai,1,0.9,spine,,
K00532,,Visa istorija yra gyvenimas,"Spinta D, 3 lentyna",Žagarinė salonas,10,4,,Visa istorija yra gyvenimas,1,0.9,spine,,ant nugarėlės autorius nesimato; viršuje matyti paantraštė apie 12 metų su Edvardu Gudavičiumi
K00533,Jonas Radvanas,Radviliada,"Spinta D, 3 lentyna",Žagarinė salonas,10,5,Jonas Radvanas,Radviliada,1.15,0.9,spine,,serija Bibliotheca Baltica
K00534,Vytenis Almonaitis,Žemaitijos politinė padėtis 1380–1410 metais,"Spinta D, 3 lentyna",Žagarinė salonas,10,6,Vytenis Almonaitis,Žemaitijos politinė padėtis 1380–1410 metais,1.15,0.9,spine,,
K00535,A. J. Greimas; S. Žukas,Lietuva Pabaltijy,"Spinta D, 3 lentyna",Žagarinė salonas,10,7,"A. J. Greimas, S. Žukas",Lietuva Pabaltijy,1.15,0.9,spine,,
K00371,,,"Spinta C, 1 lentyna",Žagarinė salonas,10,8,Petras Dusburgietis,,1,0.6,spine,,ant nugarėlės tik autorius ir serija „Lituanistinė biblioteka“; pavadinimo nematyti
K00573,Algirdas Šidlauskas (?),Lietuvos architektūros istorija,"Spinta D, 4 lentyna",Žagarinė salonas,10,9,Vanda Daugirdaitė-Sruogienė,Lietuvos istorija,0.8,0.9,spine,,"juoda nugarėlė, auksinis įspaudas"
K00419,,,"Spinta C, 3 lentyna",Žagarinė salonas,10,11,Albertas Vijūkas-Kojelavičius,,1,0.6,spine,,ant nugarėlės tik autorius ir serija „Lituanistinė biblioteka“; pavadinimo nematyti
K00539,,Lietuvos miestų istorijos šaltiniai,"Spinta D, 3 lentyna",Žagarinė salonas,10,14,,Lietuvos miestų istorijos šaltiniai,1,0.9,spine,,
K00464,,,"Spinta C, 6 lentyna",Žagarinė salonas,10,15,Petras Dusburgietis,,1,0.6,spine,,antras tos pačios serijos „Lituanistinė biblioteka“ tomas; pavadinimo ant nugarėlės nėra
K00542,Alexander Giese,Laisvieji mūrininkai,"Spinta D, 3 lentyna",Žagarinė salonas,10,19,Alexander Giese,Laisvieji mūrininkai,1.15,0.9,spine,,tamsiai raudona nugarėlė
K00554,,Lietuvos valstybės kontrolės istorija,"Spinta D, 3 lentyna",Žagarinė salonas,10,21,,Lietuvos valstybės kontrolės istorija,1,0.9,spine,,stora tamsiai pilka nugarėlė
K00555,Robert M. Pirsig,Dzenas ir motociklo priežiūros menas,"Spinta D, 3 lentyna",Žagarinė salonas,10,22,Robert M. Pirsig,Dzenas ir motociklo priežiūros menas,1.15,0.9,spine,,
K00556,Deepak Chopra,"Galia, laisvė ir malonė","Spinta D, 3 lentyna",Žagarinė salonas,10,23,Deepak Chopra,"Galia, laisvė, malonė",1.15,0.9,cover,Zagarine Salonas 10_1.JPG,matoma tik platesnėje lentynos nuotraukoje 10_1
K00558,Paulius Širvys,Neišsipildymas,"Spinta D, 3 lentyna",Žagarinė salonas,10,24,Gabija Grušaitė,Neišsipildymas,1,0.9,cover,Zagarine Salonas 10_1.JPG,
K00557,Gabija Grušaitė,Stasys Šaltoka: vieneri metai,"Spinta D, 3 lentyna",Žagarinė salonas,10,25,Gabija Grušaitė,Stasys Šaltoka. Vieneri metai,1.15,0.9,cover,Zagarine Salonas 10_1.JPG,
K00511,,,"Spinta D, 1 lentyna (viršutinė)",Žagarinė salonas,10,26,Paulius Širvys,,1,0.6,cover,Zagarine Salonas 10_1.JPG,"plona tamsiai pilka knygelė, ant nugarėlės tik autoriaus vardas"
K00559,Susanna Millar (Сюзанна Миллер),Психология игры,"Spinta D, 3 lentyna",Žagarinė salonas,10,27,Сюзанна Миллер,Психология игры,1.15,0.6,cover,Zagarine Salonas 10_1.JPG,"juoda nugarėlė, sidabrinis šriftas; pavadinimas dalinai uždengtas"
K00560,Sultan Kermally,Gurus on People Management,"Spinta D, 3 lentyna",Žagarinė salonas,10,28,Sultan Kermally,Gurus on People Management,1.15,0.9,cover,Zagarine Salonas 10_1.JPG,
K00561,David H. Maister,Practice What You Preach,"Spinta D, 3 lentyna",Žagarinė salonas,10,29,David H. Maister,Practice What You Preach,1.15,0.9,cover,Zagarine Salonas 10_1.JPG,paantraštė „What Managers Must Do to Create a High Achievement Culture“
K00563,Brian Tracy,Maximum Achievement,"Spinta D, 3 lentyna",Žagarinė salonas,10,30,Brian Tracy,Maximum Achievement,1.15,0.9,cover,Zagarine Salonas 10_1.JPG,
K00562,Patrick J. McKenna; David H. Maister,First Among Equals,"Spinta D, 3 lentyna",Žagarinė salonas,10,31,"Patrick J. McKenna, David H. Maister",First Among Equals,1.15,0.9,cover,Zagarine Salonas 10_1.JPG,paantraštė „How to Manage a Group of Professionals“
K00564,Erik H. Erikson,Gandhi's Truth,"Spinta D, 3 lentyna",Žagarinė salonas,10,32,Erik H. Erikson,Gandhi's Truth,1.15,0.9,cover,Zagarine Salonas 10_1.JPG,paskutinė knyga dešinėje lentynos pusėje
K00541,Edvardas Gudavičius,Miestų atsiradimas Lietuvoje,"Spinta D, 3 lentyna",Žagarinė salonas,10,36,Edvardas Gudavičius,Miestų atsiradimas Lietuvoje,1.15,0.9,cover,Zagarine Salonas 10_6.JPG,
K00383,Lewis Mumford,The City in History,"Spinta C, 2 lentyna",Žagarinė salonas,10,45,,Vilnius. The City and Its History,0.67,0.9,cover,Zagarine Salonas 10_16.JPG,
K00566,,Vilniaus istorijos metraštis 2007/1,"Spinta D, 4 lentyna",Žagarinė salonas,11,1,,Vilniaus istorijos metraštis,0.86,0.8,spine,,"nugarėlėje „VILNIAUS ISTORIJOS METRAŠTIS | 2007 | 1“ — tęstinis leidinys, 1 numeris"
K00567,,Vilniaus architektūra,"Spinta D, 4 lentyna",Žagarinė salonas,11,2,,Vilniaus architektūra,1,0.85,spine,,"kreminė nugarėlė, auksinės raidės"
K00568,,Kauno architektūra,"Spinta D, 4 lentyna",Žagarinė salonas,11,3,,Kauno architektūra,1,0.85,spine,,"vyšninė nugarėlė, auksinės raidės"
K00569,Antanas Rimvydas Čaplinskas,"Vilniaus gatvių istorija: Šv. Jono, Dominikonų, Trakų gatvės","Spinta D, 4 lentyna",Žagarinė salonas,11,4,Adomas Rimvydas Čaplinskas,"Vilniaus gatvių istorija. Šv. Jono, Dominikonų, Trakų gatvės",1.15,0.9,spine,,
K00570,,Bažnyčia Lietuvoje,"Spinta D, 4 lentyna",Žagarinė salonas,11,5,,Bažnyčia Lietuvoje,1,0.7,spine,,vyšninė nugarėlė; autorius nematomas
K00571,,Trakų miestas ir pilys,"Spinta D, 4 lentyna",Žagarinė salonas,11,9,,Trakų miestas ir pilys,1,0.85,spine,,"pilkai violetinė nugarėlė, baltos raidės; autorius nematomas"
K00572,,Lietuvos pilys,"Spinta D, 4 lentyna",Žagarinė salonas,11,10,,Lietuvos pilys,1,0.7,spine,,"kreminė nugarėlė, gotikinis auksinis šriftas — sunkiai įskaitoma"
K00574,,Vilniaus universiteto istorija (1579–1803),"Spinta D, 4 lentyna",Žagarinė salonas,11,13,,Vilniaus universiteto istorija,0.75,0.8,spine,,"3 tomai: 1579–1803, 1803–1940, 1940–19.. (paskutinio tomo pabaigos metai neįskaitomi)"
K00577,Josephas Frankas,Vilnius XIX amžiuje: atsiminimai (Pirma knyga),"Spinta D, 4 lentyna",Žagarinė salonas,11,14,Josephas Frankas,Vilnius XIX amžiuje. Atsiminimai,0.95,0.9,spine,,nugarėlėje „Pirma knyga“
K00578,Laimonas Briedis,Vilnius: savas ir svetimas,"Spinta D, 4 lentyna",Žagarinė salonas,11,15,Laimonas Briedis,Vilnius. Savas ir svetimas,1.15,0.9,spine,,
K00579,Giedrė Jankevičiūtė,Lithuania: Guide,"Spinta D, 4 lentyna",Žagarinė salonas,11,16,Giedrė Jankevičiūtė,Lithuania,0.82,0.7,spine,,"mėlyna nugarėlė; apačioje smulkus užrašas, panašu į „Guide“"
K00580,Og Mandino,Sėkmės universitetas,"Spinta D, 4 lentyna",Žagarinė salonas,11,17,Og Mandino,Sėkmės universitetas,1.15,0.9,spine,,
K00581,Eli Broad,The Art of Being Unreasonable,"Spinta D, 4 lentyna",Žagarinė salonas,11,18,Eli Broad,The Art of Being Unreasonable,1.15,0.8,spine,,nugarėlėje tik pavardė „BROAD“; vardas įrašytas pagal leidinį
K00544,,,"Spinta D, 3 lentyna",Žagarinė salonas,11,19,Vladas Drėma,,1,0.6,spine,,"ruda drobė su kremine etikete; nugarėlėje matomas tik autoriaus vardas, pavadinimo nėra"
K00583,,Pasivaikščiojimai po Vilnių,"Spinta D, 4 lentyna",Žagarinė salonas,11,20,Adomas Honoris Kirkoras,Pasivaikščiojimai po Vilnių ir jo apylinkes,0.8,0.9,spine,,žalia nugarėlė
K00585,,Klaipėdos universitetas: senųjų pastatų istorijos,"Spinta D, 4 lentyna",Žagarinė salonas,11,21,,Klaipėdos universitetas. Senųjų pastatų istorijos,1,0.85,cover,Zagarine Salonas 11_1.JPG,"didelio formato albumas, pastatytas pasviręs dešiniajame lentynos gale"
K00586,,"Lietuva: praeitis, kultūra, dabartis","Spinta D, 4 lentyna",Žagarinė salonas,11,22,,"Lietuva. Praeitis, kultūra, dabartis",1,0.8,cover,Zagarine Salonas 11_1.JPG,didelio formato juodas albumas dešiniajame lentynos gale
K00584,,Lazdynai,"Spinta D, 4 lentyna",Žagarinė salonas,11,23,A. Sutkus,Lazdynai,1,0.9,cover,Zagarine Salonas 11_2.JPG,didelio formato fotoalbumas; lentynos nuotraukoje neatpažintas
K00634,,,"Spinta D, 8 lentyna",Žagarinė salonas,12,4,Justinas Marcinkevičius,,1,0.3,spine,,"tamsiai žalias kietas viršelis, padėtas gulsčiai ant eilės viršaus; matyti tik autoriaus pavardė, pavadinimas užstotas"
K00641,,,"Spinta D, 9 lentyna (apatinė)",Žagarinė salonas,12,5,Justinas Marcinkevičius,,1,0.3,spine,,"kreminė nugarėlė su juodo tiškalo raštu; matyti tik autorius, pavadinimas nematomas"
K00590,Tomas Sakalauskas,Žiūrėjimas į ugnį,"Spinta D, 5 lentyna",Žagarinė salonas,12,6,Tomas Sakalauskas,Žiūrėjimas į ugnį,1.15,0.9,spine,,nugarėlės apačioje antspaudo pavidalo užrašas „Jurgio Mačiūno ... kūrėjo gyvenimas“
K00591,,Poezijos pavasaris 2001,"Spinta D, 5 lentyna",Žagarinė salonas,12,7,,Poezijos pavasaris 2001,1,0.9,spine,,almanachas
K00598,Fawn M. Brodie,Thomas Jefferson: An Intimate History,"Spinta D, 5 lentyna",Žagarinė salonas,12,9,Fawn M. Brodie,Thomas Jefferson: An Intimate History,1.15,0.9,spine,,ant nugarėlės autorius nurodytas tik „Brodie“
K00592,Vytautas Mačernis,Vėl žemės ilgesy,"Spinta D, 5 lentyna",Žagarinė salonas,12,10,Vytautas Mačernis,Vėl žemės ilgesy,1.15,0.9,spine,,nugarėlėje „V. Mačernis“
K00595,,Dvidešimtojo amžiaus lietuvių poezija (1 tomas),"Spinta D, 5 lentyna",Žagarinė salonas,12,11,,Dvidešimto amžiaus lietuvių poezija,0.67,0.9,spine,,rusva nugarėlė su auksiniu apskritimu „1“ — 1 tomas
K00596,John L. Stephens,Incidents of Travel in Yucatan (Vol. 1),"Spinta D, 5 lentyna",Žagarinė salonas,12,12,John L. Stephens,"Incidents of Travel in Yucatan, volume one",0.82,0.9,spine,,"nugarėlėje autorius „Stephens“, Dover T926"
K00597,John L. Stephens,Incidents of Travel in Yucatan (Vol. 2),"Spinta D, 5 lentyna",Žagarinė salonas,12,13,John L. Stephens,"Incidents of Travel in Yucatan, volume two",0.82,0.9,spine,,"nugarėlėje autorius „Stephens“, Dover T927"
K00604,Sarah Ban Breathnach,Paprasta pilnatvė: pašnekesiai apie dvasinę ramybę,"Spinta D, 6 lentyna",Žagarinė salonas,12,16,Sarah Ban Breathnach,Paprasta pilnatvė: pašnekesiai apie dvasinę ramybę,1.15,0.9,spine,,"rožinis gėlėtas viršelis, AL logotipas"
K00603,Richard Bach,Palikę užuovėją,"Spinta D, 6 lentyna",Žagarinė salonas,12,17,Richard Bach,Palikę užuovėją,1.15,0.9,spine,,
K00587,Boris Akunin (Борис Акунин),Нефритовые чётки,"Spinta D, 5 lentyna",Žagarinė salonas,12,19,Борис Акунин,Нефритовые чётки,1.15,0.9,cover,Zagarine Salonas 12_1.JPG,juoda nugarėlė; pagrindinėje lentynos nuotraukoje nepatenka į kadrą
K00605,Vanda Zaborskaitė,Maironis,"Spinta D, 6 lentyna",Žagarinė salonas,12,22,Vanda Zaborskaitė,Maironis,1.15,0.9,cover,Zagarine Salonas 12_1.JPG,
K00612,Justinas Marcinkevičius,Trilogija (Mindaugas; Mažvydas; Katedra),"Spinta D, 6 lentyna",Žagarinė salonas,12,23,Justinas Marcinkevičius,Mindaugas. Mažvydas. Katedra,1.01,0.9,cover,Zagarine Salonas 12_1.JPG,nugarėlėje trys eilutės: Mindaugas · Mažvydas · Katedra
K01011,Vosylius Sezemanas (V. Sezemanas),Raštai,"Spinta H, 12 lentyna",Žagarinė salonas,12,24,Justinas Marcinkevičius,Raštai. IV,1,0.9,cover,Zagarine Salonas 12_1.JPG,keturių tomų komplekto dalis (I–IV stovi greta)
K00606,Justinas Marcinkevičius,Raštai (1 tomas),"Spinta D, 6 lentyna",Žagarinė salonas,12,25,Justinas Marcinkevičius,Raštai. III,0.65,0.9,cover,Zagarine Salonas 12_1.JPG,
K00607,Justinas Marcinkevičius,Raštai (2 tomas),"Spinta D, 6 lentyna",Žagarinė salonas,12,26,Justinas Marcinkevičius,Raštai. II,0.82,0.9,cover,Zagarine Salonas 12_1.JPG,
K00608,Justinas Marcinkevičius,Raštai (3 tomas),"Spinta D, 6 lentyna",Žagarinė salonas,12,27,Justinas Marcinkevičius,Raštai. I,0.82,0.9,cover,Zagarine Salonas 12_1.JPG,
K00610,Adomas Mickevičius,Ponas Tadas,"Spinta D, 6 lentyna",Žagarinė salonas,12,28,Adomas Mickevičius,Ponas Tadas,1.15,0.9,cover,Zagarine Salonas 12_1.JPG,gelsvas aplankas
K00657,,,"Spinta E (P.L. Biblioteka), 1 lentyna",Žagarinė salonas,12,29,Bernardas Brazdžionis,,1,0.3,cover,Zagarine Salonas 12_1.JPG,tamsiai žalias drobinis viršelis su auksine autoriaus pavarde; pavadinimo nugarėlėje nėra; paskutinė knyga dešinėje
K00698,,,"Spinta E (P.L. Biblioteka), 4 lentyna",Žagarinė salonas,12,37,Alfonsas Maldonis,,1,0.3,cover,Zagarine Salonas 12_8.JPG,"rusvas viršelis su medžio ir šaknų piešiniu; pavadinimas nuotraukoje nukirstas, matyti tik pabaiga „...EIDĖ“"
K00602,Justinas Marcinkevičius,Sena abėcėlė,"Spinta D, 6 lentyna",Žagarinė salonas,12,42,Justinas Marcinkevičius,Sena abėcėlė,1.15,0.6,cover,Zagarine Salonas 12_13.JPG,šviesiai mėlynas drobinis viršelis su auksiniu ovalu; tekstas smulkus
K00601,Justinas Marcinkevičius,Dienoraštis be datų,"Spinta D, 5 lentyna",Žagarinė salonas,12,44,Justinas Marcinkevičius,Dienoraštis be datų,1.15,0.9,cover,Zagarine Salonas 12_15.JPG,kreminis aplankas su ornamentu
K00332,Jonas Jablonskis,Raštai (1 tomas),"Spinta B, 6 lentyna (apatinė)",Žagarinė salonas,12,45,Maironis,Rinktiniai raštai. Pirmas tomas,0.67,0.9,cover,Zagarine Salonas 12_16.JPG,"antraštinis lapas su antspaudu „Ex libris Tarasonio V.“; Vilnius, metai neįskaitomi"
K01598,Kristina Sabaliauskaitė,Petro imperatorė (II knyga),"Spinta D (balta), 10 lentyna (lietuvių proza)",Žagarinė salonas,13,2,Kristina Sabaliauskaitė,Petro imperatorė,0.95,0.9,spine,,ant nugarėlės romėniškas II — antra dalis
K01600,Romualdas Granauskas,Rūkas virš slėnių,"Spinta D (balta), 10 lentyna (lietuvių proza)",Žagarinė salonas,13,3,Romualdas Granauskas,Rūkas virš slėnių,1.15,0.9,spine,,šviesiai mėlyna nugarėlė
K01601,Romualdas Granauskas,Kai reikės nebebūti,"Spinta D (balta), 10 lentyna (lietuvių proza)",Žagarinė salonas,13,4,Romualdas Granauskas,Kai reikės nebebūti,1.15,0.9,spine,,"tamsiai ruda nugarėlė, pavadinimas mažomis raidėmis"
K01602,Vanda Juknaitė,Tariamas iš tamsos,"Spinta D (balta), 10 lentyna (lietuvių proza)",Žagarinė salonas,13,5,Vanda Juknaitė,Tariamas iš tamsos,1.15,0.9,spine,,ant nugarėlės „/ tariamas iš tamsos“
K01603,Ričardas Gavelis,Vilniaus pokeris,"Spinta D (balta), 10 lentyna (lietuvių proza)",Žagarinė salonas,13,6,Ričardas Gavelis,Vilniaus pokeris,1.15,0.9,spine,,rusvai bordinė nugarėlė
K01604,Julius Sasnauskas,Dar kartą – Žmogaus Sūnus,"Spinta D (balta), 10 lentyna (lietuvių proza)",Žagarinė salonas,13,7,Julius Sasnauskas,Dar kartą – Žmogaus Sūnus,1.15,0.6,spine,,"ruda nugarėlė su žvaigždės ženklu; žodžių tvarka nugarėlėje dviem eilutėmis, tikslus pavadinimo išdėstymas neaiškus"
K01605,Sigitas Parulskis,Mano tikėjimo iltys,"Spinta D (balta), 10 lentyna (lietuvių proza)",Žagarinė salonas,13,8,Sigitas Parulskis,Mano tikėjimo iltys,1.15,0.9,spine,,"juoda nugarėlė, pavadinimas žydras"
K01606,Alvydas Šlepikas,Mano tėvas žūsta,"Spinta D (balta), 10 lentyna (lietuvių proza)",Žagarinė salonas,13,9,Alvydas Šlepikas,Mano tėvas žūsta,1.15,0.9,spine,,geltona nugarėlė
K01608,Helmutas Arnašius,Keliai ir klystkeliai,"Spinta D (balta), 10 lentyna (lietuvių proza)",Žagarinė salonas,13,11,Helmutas Arnašius,Keliai ir klystkeliai,1.15,0.6,spine,,"oranžinė nugarėlė; autoriaus pavardė smulki, gali būti Arvašius"
K01610,Liudas Dapkus,"Žuvis, kuri supainiojo duris","Spinta D (balta), 10 lentyna (lietuvių proza)",Žagarinė salonas,13,12,Liudas Dapkus,"Žuvis, kuri supainiojo duris",1.15,0.9,spine,,balta nugarėlė su rakto piešiniu
K01611,Tomas Staniulis,"Diena, kurią verkiau visą","Spinta D (balta), 10 lentyna (lietuvių proza)",Žagarinė salonas,13,13,Tomas Staniulis,"diena, kurią verkiau visą",1.15,0.9,spine,,"pilkšva nugarėlė, pavadinimas mažosiomis raidėmis"
K00711,,,"Spinta F, 1 lentyna",Žagarinė salonas,13,14,Arvydas,,1,0.3,spine,,"plona knyga fotografine nugarėle (vyro su uniforma nuotrauka); įskaitomas tik vardas „ARVYDAS“, pavadinimas neįskaitomas"
K01613,Barton,Life of Abraham Lincoln,"Spinta D (balta), 11 lentyna (rusų literatūra, memuarai)",Žagarinė salonas,13,16,Barton,Life of Abraham Lincoln,1.15,0.9,spine,,"raudonas audeklinis viršelis, bibliotekinė etiketė „E 457 B3“; ant nugarėlės tik pavardė BARTON"
K01614,Aleksejus N. Tolstojus (А. Н. Толстой),Пётр Первый,"Spinta D (balta), 11 lentyna (rusų literatūra, memuarai)",Žagarinė salonas,13,17,А. Н. Толстой,Пётр Первый,1.15,0.9,spine,,smėlio spalvos audeklinis viršelis
K01615,,Русская поэзия конца XIX – начала XX века,"Spinta D (balta), 11 lentyna (rusų literatūra, memuarai)",Žagarinė salonas,13,18,,Русская поэзия конца XIX – начала XX века,1,0.9,spine,,žalias audeklinis viršelis su auksiniu ornamentu; antologija
K01616,Vladimiras Pozneris (Владимир Познер),Прощание с иллюзиями,"Spinta D (balta), 11 lentyna (rusų literatūra, memuarai)",Žagarinė salonas,13,19,Владимир Познер,Прощание с иллюзиями,1.15,0.9,spine,,balta nugarėlė su autoriaus nuotrauka viršelyje
K01617,Osipas Mandelštamas (Осип Мандельштам),Камень,"Spinta D (balta), 11 lentyna (rusų literatūra, memuarai)",Žagarinė salonas,13,20,Осип Мандельштам,Камень,1.15,0.9,spine,,tamsiai žalias viršelis su auksuotu įspaudu
K01618,Vladimiras Sorokinas (Владимир Сорокин),Очередь,"Spinta D (balta), 11 lentyna (rusų literatūra, memuarai)",Žagarinė salonas,13,21,Владимир Сорокин,Очередь,1.15,0.9,spine,,"balta nugarėlė, apatinė dalis su spalvota iliustracija"
K01620,Craig Foster,Amphibious Soul,"Spinta D (balta), 11 lentyna (rusų literatūra, memuarai)",Žagarinė salonas,13,23,Craig Foster,Amphibious Soul,1.15,0.9,spine,,"tamsiai mėlyna nugarėlė; knyga pakrypusi, stovi lentynos gale"
K01619,Broliai Vaineriai (А. и Г. Вайнеры),Город принял,"Spinta D (balta), 11 lentyna (rusų literatūra, memuarai)",Žagarinė salonas,13,25,Аркадий и Георгий Вайнеры,Город принял!..,1.15,0.9,cover,Zagarine Salonas 13_3.JPG,romanas; serija „Классическая и современная проза“
K01609,Gintaras Beresnevičius,Dausos,"Spinta D (balta), 10 lentyna (lietuvių proza)",Žagarinė salonas,13,32,Gintaras Beresnevičius,Dausos,1.15,0.9,cover,Zagarine Salonas 13_10.JPG,juodai balta grafika viršelyje
K01599,Jurga Ivanauskaitė,Mėnulio vaikai,"Spinta D (balta), 10 lentyna (lietuvių proza)",Žagarinė salonas,13,35,,Mėnulio vaikai,1,0.9,cover,Zagarine Salonas 13_13.JPG,Nuotrauka neparsisiųsta (per didelė); pavadinimą nurodė savininkas (lt.wikipedia.org/wiki/Mėnulio_vaikai). Autorius nepatikrintas.
K00718,,,"Spinta F, 2 lentyna",Žagarinė salonas,14,5,N. Michailovas,,1,0.6,spine,,"tamsiai žalia drobinė nugarėlė, matomas tik autoriaus vardas, pavadinimo nesimato"
K01623,Antanas Venclova,Mirtis Lisabonoj,"Spinta D (balta), 12 lentyna (lietuvių klasika, seni tomai)",Žagarinė salonas,14,7,Antanas Venclova,Mirtis Lisabonoj,1.15,0.9,spine,,
K00737,,,"Spinta F, 4 lentyna",Žagarinė salonas,14,9,Arvydas Ambrasas,,1,0.6,spine,,"balta nugarėlė, tik autoriaus vardas ir taškas; viršuje graviūros ženklas (skrynia). Pora su pos 10 — vienoda serijos apdaila"
K00759,,,"Spinta F, 6 lentyna",Žagarinė salonas,14,10,Arvydas Ambrasas,,1,0.6,spine,,"balta nugarėlė, tik autoriaus vardas ir taškas; apačioje graviūros ženklas (dvaro rūmai). Pora su pos 9"
K00791,,,"Spinta G, 2 lentyna",Žagarinė salonas,14,11,Antanas Venclova,,1,0.6,spine,,"stora gelsva nugarėlė, matomas tik autorius; pavadinimas nenuskaitomas"
K00820,,,"Spinta G, 5 lentyna",Žagarinė salonas,14,12,Algimantas Baltakis,,1,0.7,spine,,"šviesiai mėlyna nugarėlė, apačioje „I“ — tikėtina „Raštai“, 1 tomas"
K00837,,,"Spinta G, 8 lentyna",Žagarinė salonas,14,13,Kazys Boruta,,1,0.7,spine,,"gelsva nugarėlė, žalios raidės; matomas tik autorius"
K01626,Kazys Boruta,Mediniai stebuklai,"Spinta D (balta), 12 lentyna (lietuvių klasika, seni tomai)",Žagarinė salonas,14,14,Kazys Boruta,Mediniai stebuklai,1.15,0.8,spine,,
K00066,Antoine de Saint-Exupéry (Antuanas de Sent Egziuperi),Raštai / rinktinė,"Spinta A, 3 lentyna",Žagarinė salonas,14,15,V. Mykolaitis-Putinas,Raštai,0.67,0.8,spine,,pilka nugarėlė; tomo numerio nesimato
K01622,Eduardas Mieželaitis,Svetimi akmenys,"Spinta D (balta), 12 lentyna (lietuvių klasika, seni tomai)",Žagarinė salonas,14,17,E. Mieželaitis,Svetimi akmenys,1.15,0.8,spine,,mėlynos raidės ant gelsvos nugarėlės
K01628,Šatrijos Ragana,Raštai (II tomas),"Spinta D (balta), 12 lentyna (lietuvių klasika, seni tomai)",Žagarinė salonas,14,18,Šatrijos Ragana,Raštai II,0.82,0.8,cover,Zagarine Salonas 14_1.JPG,"tamsiai raudona nugarėlė su auksuotu įspaudu; stovi dešiniajame lentynos gale, atskirai nuo kitų"
K01629,Vincas Kudirka,Raštai (II tomas),"Spinta D (balta), 12 lentyna (lietuvių klasika, seni tomai)",Žagarinė salonas,14,19,Vincas Kudirka,Raštai,0.82,0.9,cover,Zagarine Salonas 14_1.JPG,gelsvas viršelis su žaliu ženklu; dešinysis lentynos galas
K00329,Kristijonas Donelaitis,Metai,"Spinta B, 6 lentyna (apatinė)",Žagarinė salonas,14,20,Kristijonas Donelaitis,Metai,1.15,0.8,cover,Zagarine Salonas 14_1.JPG,nugarėlėje „DONELAITIS METAI“; dešinysis lentynos galas
