Senas ID,Autorius,Pavadinimas,Sena vieta,Statusas
K01240,Algimantas Zurba (?),Vincas Pietaris (?),"Spinta I, 26 lentyna (Granauskas)",Lentynoje
K01245,Hans Kmoch (Ганс Кмох),Рубинштейн выигрывает,"Spinta I, 27 lentyna (šachmatai)",Lentynoje
K01250,Kaspar Colling Nielsen,Europos pavasaris,"Spinta I, 28 lentyna (distopijos)",Lentynoje
K01251,Aldous Huxley,Brave New World,"Spinta I, 28 lentyna (distopijos)",Lentynoje
K01252,George Orwell,Animal Farm,"Spinta I, 28 lentyna (distopijos)",Lentynoje
K01253,George Orwell,Gyvulių ūkis,"Spinta I, 28 lentyna (distopijos)",Lentynoje
K01254,Thomas More (Томас Мор),Utopija,"Spinta I, 28 lentyna (distopijos)",Lentynoje
K01255,Karel Čapek (Карел Чапек),Путешествия,"Spinta I, 28 lentyna (distopijos)",Lentynoje
K01256,George Orwell,1984 (lietuviškas),"Spinta I, 28 lentyna (distopijos)",Lentynoje
K01257,George Orwell,1984 (angliškas),"Spinta I, 28 lentyna (distopijos)",Lentynoje
K01258,Ray Bradbury,Fahrenheit 451,"Spinta I, 28 lentyna (distopijos)",Lentynoje
K01259,Agatha Christie,Detektyvų kolekcija (leidykla „Sirokas“ ir kt.),"Spinta I, 29 lentyna (Agatha Christie kolekcija)",Lentynoje
K01261,Arthur Conan Doyle,Šerloko Holmso apysakos (I–II tomai),"Spinta I, 29 lentyna (Agatha Christie kolekcija)",Lentynoje
K01262,Alan Bradley,Flavijos de Lius detektyvai (2 tomai),"Spinta I, 29 lentyna (Agatha Christie kolekcija)",Lentynoje
K01278,,Read Real Japanese: Short Stories by Contemporary Writers,"Spinta I, 30 lentyna (fizika, mokslas)",Lentynoje
K01289,Philipp Dettmer,Imunitetas,"Spinta I, 31 lentyna (mityba, sveikata)",Lentynoje
K01292,,Fitobiogenika (?),"Spinta I, 31 lentyna (mityba, sveikata)",Lentynoje
K01296,Marc Levinson,The Box,"Spinta I, 32 lentyna (verslas, inovacijos)",Lentynoje
K01330,Charles Dickens,A Tale of Two Cities,"Spinta J, 1 niša (mokslo istorija)",Lentynoje
K01332,Adam Rutherford,Creation,"Spinta J, 2 niša (evoliucija, gamtos mokslai)",Lentynoje
K01333,Carl Sagan,Rinktinė (raudona nugarėlė),"Spinta J, 2 niša (evoliucija, gamtos mokslai)",Lentynoje
K01334,Lynn Margulis,Rinktinė,"Spinta J, 2 niša (evoliucija, gamtos mokslai)",Lentynoje
K01350,Sud. Jonas Mekas,"Trys draugai: Jurgis Mačiūnas, Yoko Ono, John Lennon","Spinta J, 5 niša (Nietzsche, Fluxus)",Lentynoje
K01362,,Radvilos / The Radziwills (II tomas),"Spinta J, 7 niša (Radvilos, sociologija)",Lentynoje
K01364,Robert J. Brym; John Lie,Sociology: Your Compass for a New World (3rd ed.),"Spinta J, 7 niša (Radvilos, sociologija)",Lentynoje
K01365,,Lietuvos istorija (senas leidimas),"Spinta J, 7 niša (Radvilos, sociologija)",Lentynoje
K01375,V. Hugo,Rinktinė,"Spinta J, 8 niša (klasika)",Lentynoje
K01379,Niall Ferguson,Doom: The Politics of Catastrophe,"Spinta J, 9 niša (sociologija, filosofija)",Lentynoje
K01380,Umberto Eco,Rinktinė (ALK leidimas),"Spinta J, 9 niša (sociologija, filosofija)",Lentynoje
K01385,,Sodininkystės knygų kolekcija (~22 tomai),"Spinta J, 10 niša (sodininkystė, mišri)",Lentynoje
K01388,Stasys Samalavičius,Rinktinė (IV tomas),"Spinta J, 10 niša (sodininkystė, mišri)",Lentynoje
K01393,Konfucijus,Rinktinė (mažas tomelis),"Spinta J, 11 niša (senoji klasika, vokiečių)",Lentynoje
K01414,Miguel de Cervantes,Don Kichotas (II tomas),"Spinta J, 13 niša (pasaulio klasika)",Lentynoje
K01415,Vladas Drėma,Raštai / albumai (2 tomai),"Spinta J, 13 niša (pasaulio klasika)",Lentynoje
K01419,Ovidijus,Rinktinė,"Spinta J, 13 niša (pasaulio klasika)",Lentynoje
K01432,,Vilnius (geltonas gidas),"Spinta J, 14 niša (Vilnius, miestai)",Lentynoje
K01440,Kirilas Privalovas (Кирилл Привалов),Секты: досье страха,"Spinta J, 15 niša (religijotyra)",Lentynoje
K01443,G. P. Aksionovas (Г. П. Аксенов),От христианства до ноосферы,"Spinta J, 15 niša (religijotyra)",Lentynoje
K01461,Bernhard Moestl,Šaolinas,"Spinta J, 16 niša (Rytų religijos)",Lentynoje
K01466,Šunriu Sudzukis (Сюнрю Судзуки),Rinktinė (dzen),"Spinta J, 16 niša (Rytų religijos)",Lentynoje
K01477,Algimantas Kutas (?),Kuksando,"Spinta J, 16 niša (Rytų religijos)",Lentynoje
K01478,Albertas Vijūkas-Kojelavičius,Lietuvos istorija (senasis leidimas),"Spinta J, 17 lentyna (Lietuvos istoriografija)",Lentynoje
K01491,Edvardas Gudavičius,Lietuvos istorija (I tomas): nuo seniausių laikų iki 1569 metų,"Spinta J, 17 lentyna (Lietuvos istoriografija)",Lentynoje
K01493,,Regni Poloniae Magnique Ducatus Lithuaniae... (faksimilė),"Spinta J, 17 lentyna (Lietuvos istoriografija)",Lentynoje
K01501,Leonas Karsavinas,Europos kultūros istorija (3 tomas),"Spinta J, 18 lentyna (kultūros istorija)",Lentynoje
K01512,Vytenis Almonaitis; Junona Almonaitienė,Pietų ceklis,"Spinta J, 19 niša (baltistika)",Lentynoje
K01516,Laurynas Katkus,Už 7 gatvių (eilėraščiai),"Spinta J, 20 niša (mišri apatinė)",Lentynoje
K01519,,Lietuvos narystė Europos Sąjungoje (3),"Spinta J, 20 niša (mišri apatinė)",Lentynoje
K01524,,Chejeros dalados (?),"Spinta J, 21 niša (Antika, Troja)",Lentynoje
K01525,A. Šveiceris (Albert Schweitzer) (?),Rinktinė,"Spinta J, 21 niša (Antika, Troja)",Lentynoje
K01532,,South Africa (Insight Guides),"Spinta J, 23 niša (kelionių istorijos)",Lentynoje
K01537,,Гималаи: каменная книга (?),"Spinta J, 23 niša (kelionių istorijos)",Lentynoje
K01543,Markas Tvenas (Марк Твен),Жанна д'Арк,"Spinta J, 25 niša (Mark Twain)",Lentynoje
K01547,O. Henris; Džekas Londonas,Rinktinė (bendras tomas),"Spinta J, 25 niša (Mark Twain)",Lentynoje
K01563,,Spaghetti (kolekcinis leidimas dėžutėje),"Virtuvės spinta, 1 lentyna (kulinarijos klasika)",Lentynoje
K01569,,Veganiška virtuvė,"Virtuvės spinta, 2 lentyna (kulinarija)",Lentynoje
K01572,,Anthropologie de la cuisine (?),"Virtuvės spinta, 2 lentyna (kulinarija)",Lentynoje
K01578,Žvilė Povilaitytė-Buzaitė (?),Skanaus! Dėl angliavandenių,"Virtuvės spinta, 2 lentyna (kulinarija)",Lentynoje
K01580,Marius Abramavičius-Neboisia,Vizionierius (?),"Virtuvės spinta, 2 lentyna (kulinarija)",Lentynoje
K01584,,Literatų virtuvė,"Virtuvės spinta, 2 lentyna (kulinarija)",Lentynoje
K01587,Gérard Depardieu,Kulinarijos knyga,"Virtuvės spinta, 2 lentyna (kulinarija)",Lentynoje
K01593,Winston S. Churchill,Antrasis pasaulinis karas: Pakeliui į katastrofą (I tomas),Ant stalo (be lentynos),Lentynoje
K01607,Juozas Požėra,Mano teismai (?),"Spinta D (balta), 10 lentyna (lietuvių proza)",Lentynoje
K01624,Arvydas Ambrasas,Rinktinė (2 tomai),"Spinta D (balta), 12 lentyna (lietuvių klasika, seni tomai)",Lentynoje
K01625,Algimantas Baltakis,Rinktinė,"Spinta D (balta), 12 lentyna (lietuvių klasika, seni tomai)",Lentynoje
K01627,Kazys Boruta,Rinktinė (antras tomas),"Spinta D (balta), 12 lentyna (lietuvių klasika, seni tomai)",Lentynoje
K01630,Kristijonas Donelaitis,Metai (dar vienas leidimas),"Spinta D (balta), 12 lentyna (lietuvių klasika, seni tomai)",Lentynoje
K01637,Sergejus Jovaiša,Krepšinio ABC (?),"Spinta D (balta), spintelė (sportas, teisė)",Lentynoje
K01641,Karlas Popperis (Карл Поппер),Открытое общество и его враги (I tomas),"Spinta D (balta), filosofijos lentyna (viršutinė)",Lentynoje
K01642,Karlas Popperis (Карл Поппер),Открытое общество и его враги (II tomas),"Spinta D (balta), filosofijos lentyna (viršutinė)",Lentynoje
K01643,John Locke (Локк),Сочинения (1 tomas),"Spinta D (balta), filosofijos lentyna (viršutinė)",Lentynoje
K01644,John Locke (Локк),Сочинения (2 tomas),"Spinta D (balta), filosofijos lentyna (viršutinė)",Lentynoje
K01645,John Locke (Локк),Сочинения (3 tomas),"Spinta D (balta), filosofijos lentyna (viršutinė)",Lentynoje
K01657,Émile Durkheim (Э. Дюркгейм),Rinktinė (mėlynas tomas),"Spinta D (balta), filosofijos lentyna (apatinė)",Lentynoje
K01659,Carlas Gustavas Jungas (Карл Густав Юнг),Rinktinė (raudonas tomas),"Spinta D (balta), filosofijos lentyna (apatinė)",Lentynoje
K01660,"Ibn Sina (Avicena, Ибн Сина)",Rinktinė,"Spinta D (balta), filosofijos lentyna (apatinė)",Lentynoje
K01672,V. L. Larinas (В. Л. Ларин),По Юго-Западному Китаю,"Medinė lentyna, 1 lentyna (kelionės)",Lentynoje
K01682,Gerimantas Statinis,Rinktinė (kelionių),"Medinė lentyna, 1 lentyna (kelionės)",Lentynoje
K01685,Magnus,Athens,"Medinė lentyna, 1 lentyna (kelionės)",Lentynoje
K01691,Luciano Artusi (?),Firenze: gidas,"Medinė lentyna, 1 lentyna (kelionės)",Lentynoje
K01693,,Lionginas Šepetys,"Medinė lentyna, 1 lentyna (kelionės)",Lentynoje
K01694,Justas Vincas Paleckis,Rinktinė,"Medinė lentyna, 1 lentyna (kelionės)",Lentynoje
K01696,,Histoire de France,"Medinė lentyna, 1 lentyna (kelionės)",Lentynoje
K01697,,Les Dirigeants (de Verringetorix à la Ve République),"Medinė lentyna, 1 lentyna (kelionės)",Lentynoje
K01699,,"Vilniaus istorija (XIII a.–1795 m., I tomas)","Medinė lentyna, 2 lentyna (dailės albumai)",Lentynoje
K01701,,Public Space,"Medinė lentyna, 2 lentyna (dailės albumai)",Lentynoje
K01707,,Caspar David Friedrich,"Medinė lentyna, 2 lentyna (dailės albumai)",Lentynoje
K01710,Stasys Krasauskas (Стасис Красаускас),Albumas,"Medinė lentyna, 2 lentyna (dailės albumai)",Lentynoje
K01714,Algimantas Aleksandravičius,Fotografijų albumas,"Medinė lentyna, 2 lentyna (dailės albumai)",Lentynoje
K01715,,Augustinas Savickas (2 tomai),"Medinė lentyna, 2 lentyna (dailės albumai)",Lentynoje
K01718,,Lietuvos sakralinė dailė / Sacred Art of Lithuania,"Medinė lentyna, 2 lentyna (dailės albumai)",Lentynoje
K01728,Laurent Ballesta; Pierre Descamp (?),Planeta / vandenynai (mėlynas tomas),"Medinė lentyna, 3 lentyna (atlasai, geografija)",Lentynoje
K01738,Rokas Pralgauskas (?),Rinktinė,"Medinė lentyna, 4 lentyna (albumai, Vilniaus istorija)",Lentynoje
K01740,,Knyga armėnų kalba,"Medinė lentyna, 4 lentyna (albumai, Vilniaus istorija)",Lentynoje
K01744,,Vilniaus istorija: 1915–1990 metai (III tomas),"Medinė lentyna, 4 lentyna (albumai, Vilniaus istorija)",Lentynoje
K01745,,Vilniaus istorija: 1795–1914 metai (II tomas),"Medinė lentyna, 4 lentyna (albumai, Vilniaus istorija)",Lentynoje
K01747,,Виталий Бутырин: избранные работы,"Medinė lentyna, 4 lentyna (albumai, Vilniaus istorija)",Lentynoje
K01758,Vilius Kavaliauskas (?),Lietuvos karininko fotoalbumas,"Medinė lentyna, 5 lentyna (kinas, menas, muzika)",Lentynoje
K01761,,"Distelgewächs, das mich ergriff (?)","Medinė lentyna, 5 lentyna (kinas, menas, muzika)",Lentynoje
K01762,,Gitarre (mokykla / albumas),"Medinė lentyna, 5 lentyna (kinas, menas, muzika)",Lentynoje
K01775,,Sing Out!,"Medinė lentyna, 6 lentyna (sveikata, gamta)",Lentynoje
K01797,Ignas Burneika,Vilniaus panoramos,"Medinė lentyna, 5 lentyna (kinas, menas, muzika)",Lentynoje
K01799,,CN Tower Toronto / La Tour CN (suvenyrinis leidinys),"Medinė lentyna, 6 lentyna (sveikata, gamta)",Lentynoje
K01802,Rudolf Jaeger (?),Grillmeister: die besten Rezepte,"Medinė lentyna, 7 lentyna (kulinarija)",Lentynoje
K01810,,Žvaigždžių virtuvė (?),"Medinė lentyna, 7 lentyna (kulinarija)",Lentynoje
K01814,Julia Child (Джулия Чайлд),Rinktinė (raudonas tomas),"Medinė lentyna, 7 lentyna (kulinarija)",Lentynoje
K01825,Jamie Oliver (Джейми Оливер),Кулинарная книга (rusiškas leidimas),"Medinė lentyna, 7 lentyna (kulinarija)",Lentynoje
K01843,Ernesto Che Guevara,Guerrilla Warfare,"Medinė lentyna, 9 niša (gamta, gyvūnai)",Lentynoje
K01847,,701 (raudonas leidinys),"Medinė lentyna, 9 niša (gamta, gyvūnai)",Lentynoje
K01851,James Le Fanu,Kodėl mes?,"Medinė lentyna, 9 niša (gamta, gyvūnai)",Lentynoje
K01863,Peter Fader; Sarah Toms,The Customer Centricity Playbook,"Kampinė lentyna (darbo kambarys), 1 lentyna (verslas)",Lentynoje
K01864,Richard H. Thaler; Cass R. Sunstein,"Nudge: Improving Decisions About Health, Wealth and Happiness","Kampinė lentyna (darbo kambarys), 1 lentyna (verslas)",Lentynoje
K01877,Dominic O'Brien,How to Develop a Brilliant Memory,"Kampinė lentyna (darbo kambarys), 2 lentyna (analitika)",Lentynoje
K01878,Carlo Rovelli,Seven Brief Lessons on Physics,"Kampinė lentyna (darbo kambarys), 2 lentyna (analitika)",Lentynoje
K01881,Oscar Wilde,The Canterville Ghost / Il fantasma di Canterville,"Kampinė lentyna (darbo kambarys), 2 lentyna (analitika)",Lentynoje
K01891,Steven D. Levitt; Stephen J. Dubner,Keistonomika,"Kampinė lentyna (darbo kambarys), 2 lentyna (analitika)",Lentynoje
K01892,Robert Anton Wilson (Роберт Антон Уилсон),Квантовая психология,"Kampinė lentyna (darbo kambarys), 2 lentyna (analitika)",Lentynoje
K01893,Karlos Kastaneda (Карлос Кастанеда),The Art of Dreaming / Искусство сновидения,"Kampinė lentyna (darbo kambarys), 2 lentyna (analitika)",Lentynoje
K01894,Stephen Few,Information Dashboard Design,"Kampinė lentyna (darbo kambarys), 2 lentyna (analitika)",Lentynoje
K01895,Stephen Few,Now You See It,"Kampinė lentyna (darbo kambarys), 2 lentyna (analitika)",Lentynoje
K01906,Thomas Curran,Tobulumo spąstai,"Kampinė lentyna (darbo kambarys), 3 lentyna (kalbos)",Lentynoje
K01907,Zygmunt Bauman; Rein Raud,Praktikos ir savastis (?),"Kampinė lentyna (darbo kambarys), 3 lentyna (kalbos)",Lentynoje
K01911,A. J. Thomson; A. V. Martinet,A Practical English Grammar,"Kampinė lentyna (darbo kambarys), 3 lentyna (kalbos)",Lentynoje
K01915,,Berlitz Essential Italian,"Kampinė lentyna (darbo kambarys), 3 lentyna (kalbos)",Lentynoje
K01916,Simonas Jurkevičius,AmoRoma: italų kalbos gidas pradedantiesiems,"Kampinė lentyna (darbo kambarys), 3 lentyna (kalbos)",Lentynoje
