Patalpa,Lentyna,Pozicija,Autorius,Pavadinimas,Kalba,Pasitikėjimas,Šaltinis,Viršelio nuotrauka,Pastaba
Žagarinė salonas,5,17,Alg. Baltakis,Keturios stygos,LT,0.9,cover,Zagarine Salonas 5_7.JPG,ant viršelio autorius užrašytas sutrumpintai „ALG. BALTAKIS“
Žagarinė salonas,5,19,Anita Kapočiūtė,Metro,LT,0.9,cover,Zagarine Salonas 5_9.JPG,
Žagarinė salonas,5,20,Tomas Arūnas Rudokas,Autodafė,LT,0.9,cover,Zagarine Salonas 5_10.JPG,
Žagarinė salonas,5,21,Algimantas Zeikus,Nušautas vakaras,LT,0.9,cover,Zagarine Salonas 5_11.JPG,
Žagarinė salonas,5,23,V. Ažajevas,Toli nuo Maskvos,LT,0.9,cover,Zagarine Salonas 5_13.JPG,"artimiausias K01731 (0.4) antraštinis lapas; romanas, vertė D. Pinigis; virš pavadinimo blanki eilutė „ANTROJI DALIS“"
Žagarinė salonas,5,24,,NATO sienos / Walls for NATO,LT,0.8,cover,Zagarine Salonas 5_14.JPG,"artimiausias K00444 (0.22) parodos katalogas, lietuvių ir anglų k.; nufotografuotas tik metrikos puslapis, kuratoriai Kęstutis Kuizinas, Evaldas Stankevičius; ISBN 9986-957-16-8"
Žagarinė salonas,5,25,Salomėja Nėris,Mama! Kur tu?,LT,0.9,cover,Zagarine Salonas 5_15.JPG,labai sudėvėtas popierinis viršelis
Žagarinė salonas,5,26,,Tapyba,LT,0.6,cover,Zagarine Salonas 5_16.JPG,"artimiausias K01708 (0.5) antraštinis lapas, didelio formato albumas; pavadinimas teptuko šriftu, todėl skaitymas nevisiškai tikras; leidyklos „Vaga“ bibliotekos antspaudas"
Žagarinė salonas,5,27,"V. Čigriejienė, V. Sadauskas",Jūsų mažylis pakeliui į gyvenimą,LT,0.9,cover,Zagarine Salonas 5_17.JPG,artimiausias K00683 (0.25) 
Žagarinė salonas,5,28,Mišelis Odenas,Gimdymo atgimimas,LT,0.9,cover,Zagarine Salonas 5_18.JPG,paantraštė „Koks galėtų ir turėtų būti?“
Žagarinė salonas,5,29,"S. Tokeris, V. Zeliukas",Auksinis Kauno „Žalgirio“ sezonas,LT,0.9,cover,Zagarine Salonas 5_19.JPG,"artimiausias K00568 (0.33) antraštinis lapas; Kaunas, Šviesa, 1985"
Žagarinė salonas,5,30,"V. Kovaliov, J. Sąlyga, V. Grigalauskas",Skubios medicininės pagalbos suteikimas laivuose,LT,0.9,cover,Zagarine Salonas 5_20.JPG,
Žagarinė salonas,5,31,,Plaukimas Ambersail Karibai,LT,0.8,cover,Zagarine Salonas 5_21.JPG,fotoalbumas; ant viršelio ranka užrašyta „Be happy or leave :)“; autorius nenurodytas
Žagarinė salonas,7,3,,,,0.3,spine,,neįskaitoma: už Maldonio ir „Malarstwo polskie“ įstumta knyga tamsiai rudu viršeliu; matosi tik viršutinis kraštas
Žagarinė salonas,7,5,,,,0.3,spine,,neįskaitoma: už kitų knygų įstumta knyga spalvotu (tapybos reprodukcijos) viršeliu; nugarėlės nesimato
Žagarinė salonas,7,6,В. Г. Брюсова,Гурий Никитин,RU,0.9,spine,,"juoda nugarėlė, auksinės raidės"
Žagarinė salonas,8,3,,,,0.3,spine,,neįskaitoma: siaura balta nugarėlė be jokio teksto
Žagarinė salonas,8,5,,,LT,0.3,spine,,"neįskaitoma: sena knyga suplėšytu popieriniu aplanku, gotikinis šriftas; įskaitomi tik fragmentai „v. Pe…“, „Lietu…“"
Žagarinė salonas,8,9,A. Sabaliauskas,Mes baltai,LT,0.9,spine,,artimiausias K01851 (0.5) žalia nugarėlė
Žagarinė salonas,8,10,Algirdas Sabaliauskas,Mes baltai,LT,0.8,spine,,artimiausias K01851 (0.5) kitas to paties pavadinimo leidimas — balta nugarėlė su popierine etikete
Žagarinė salonas,8,14,,Mažosios Lietuvos kultūros pėdsakai,LT,0.7,spine,,artimiausias K00531 (0.33) ruda nugarėlė su auksiniu įspaudu; viršuje dar viena eilutė (autorius?) neįskaitoma
Žagarinė salonas,8,18,,Paganinis,LT,0.85,spine,,rusva drobinė nugarėlė; autorius nematomas (biografijų serija)
Žagarinė salonas,8,19,,,,0.3,spine,,neįskaitoma: didesnė balta knyga antroje eilėje už „Paganinio“ — matosi tik viršutinis kraštas
Žagarinė salonas,8,28,,Pasteras,LT,0.85,cover,Zagarine Salonas 8_1.JPG,"dešinysis lentynos galas, matomas tik 8_1 nuotraukoje; autorius nematomas"
Žagarinė salonas,8,31,,,,0.3,cover,Zagarine Salonas 8_1.JPG,neįskaitoma: sena nudėvėta knyga rusva suplyšusia nugarėle be teksto
Žagarinė salonas,8,36,Vaidotas Jauniškis,Apie taką,LT,0.9,cover,Zagarine Salonas 8_4.JPG,artimiausias K00062 (0.4) lentynos nuotraukoje neatpažinta
Žagarinė salonas,8,37,В. Смирнов,Морис Равель (1875–1937),RU,0.85,cover,Zagarine Salonas 8_5.JPG,"популярная монография, Ленинград; antraštiniame lape savininko parašas; lentynos nuotraukoje neatpažinta"
Žagarinė salonas,8,38,,Juozui Meškauskui – 80,LT,0.8,cover,Zagarine Salonas 8_6.JPG,viršelio viršuje smulkus tekstas neįskaitomas; lentynos nuotraukoje neatpažinta
Žagarinė salonas,8,39,Pranė Dundulienė,Lietuvių liaudies kosmologija,LT,0.9,cover,Zagarine Salonas 8_7.JPG,artimiausias K01717 (0.4) lentynos nuotraukoje neatpažinta
Žagarinė salonas,8,40,А. К. Тер-Акопян,Санскрит в реке русской речи,RU,0.9,cover,Zagarine Salonas 8_8.JPG,"artimiausias K01720 (0.2) 8_8 — viršelis, 8_9 — tos pačios knygos metrikos lapas; lentynos nuotraukoje neatpažinta"
Žagarinė salonas,9,9,Aleksandras Guobys,Neblėstantys portretai,LT,0.9,spine,,violetinė nugarėlė
Žagarinė salonas,9,12,,,,0.3,spine,,neįskaitoma: pakrypusi kreminė (gelsva) knyga be jokio teksto ant nugarėlės
Žagarinė salonas,9,14,Motiejus Čepas,Molio Motiejaus užrašai,LT,0.6,spine,,"alyvinė nugarėlė; pirmasis pavadinimo žodis paslėptas blizgesio, skaitosi „MO[L]IO MOTIEJAUS UŽRAŠAI“"
Žagarinė salonas,9,17,Jonas Öhman,Donbaso džiazas,LT,0.9,spine,,geltona nugarėlė
Žagarinė salonas,9,19,Petras Klimas,Iš mano atsiminimų,LT,0.9,spine,,artimiausias K00549 (0.5) 
Žagarinė salonas,9,23,,"Tebesitęsianti akistata, arba Atgyja tai, kas ir nebuvo numirę",LT,0.6,spine,,"artimiausias K00157 (0.18) juoda nugarėlė, viršutinė dalis tamsiai raudona; autorius nematyti"
Žagarinė salonas,9,28,Rimvydas Racėnas,Paminklai Lietuvos gyventojų tremties ir kalinimo vietose 1940–1958,LT,0.9,cover,Zagarine Salonas 9_2.JPG,artimiausias K00531 (0.2) tekstas ir angliškai („Monuments to Lithuanians in Places of Exile and Imprisonment“) bei rusiškai
Žagarinė salonas,9,29,Vytautas Landsbergis,Atgavę viltį,LT,0.9,cover,Zagarine Salonas 9_3.JPG,paantraštė „Pertvarkos tekstų knygelė“; žalias viršelis
Žagarinė salonas,9,30,Jonas Užurka,Antroji kario knyga,LT,0.9,cover,Zagarine Salonas 9_4.JPG,artimiausias K00433 (0.4) žalias viršelis
Žagarinė salonas,9,31,Vytautas Landsbergis,Laisvės byla,LT,0.9,cover,Zagarine Salonas 9_5.JPG,ant viršelio „1990 1991“
Žagarinė salonas,9,32,Danutė Klumbytė,Atgyja iš nukirstos šaknys,LT,0.9,cover,Zagarine Salonas 9_6.JPG,
Žagarinė salonas,9,33,Kazytė Urbaitė-Šližienė,Užverktas dangus,LT,0.9,cover,Zagarine Salonas 9_7.JPG,artimiausias K01215 (0.4) 
Žagarinė salonas,9,34,V. Radaitis,Mano Galilėjus,LT,0.9,cover,Zagarine Salonas 9_8.JPG,"artimiausias K00549 (0.5) sena, aptrinta knyga žydru viršeliu"
Žagarinė salonas,9,35,Juozas Urbšys,Lietuva lemtingaisiais 1939–1940 metais,LT,0.9,cover,Zagarine Salonas 9_9.JPG,artimiausias K00652 (0.33) 
Žagarinė salonas,9,36,Gabrielius Žemkalnis,Suluošintų likimų pėdsakais,LT,0.9,cover,Zagarine Salonas 9_10.JPG,artimiausias K01680 (0.22) 
Žagarinė salonas,9,37,М. Максимайтис,Политический режим в буржуазной Литве в 1926–1940 г.г.,RU,0.9,cover,Zagarine Salonas 9_11.JPG,artimiausias K00575 (0.18) geltonas viršelis su mėlyna nugarėle
Žagarinė salonas,9,38,"Vytautas Tarasonis, Antanas Bajoriūnas, Donatas Gediminskas",Lietuvos tremtiniai Tadžikijoje,LT,0.9,cover,Zagarine Salonas 9_12.JPG,artimiausias K00531 (0.4) plona žydra brošiūra
Žagarinė salonas,10,10,,Livonijos kronikos,LT,0.9,spine,,artimiausias K00537 (0.5) tamsiai žalia nugarėlė
Žagarinė salonas,10,12,,,LT,0.3,spine,,"neįskaitoma: šviesiai rusva popierinė nugarėlė, gotiškas baltas šriftas, nuotraukoje neryški; viršuje autoriaus inicialas su pavarde, žemiau trys eilutės ir metai — neįskaitoma"
Žagarinė salonas,10,13,,Vytautas Didysis,LT,0.9,spine,,"artimiausias K00653 (0.4) senas tarpukario leidinys, puošnus gotiškas šriftas ant smėlio spalvos nugarėlės"
Žagarinė salonas,10,16,Jadvyga Tarasonienė,Esate ištremta pagrįstai,LT,0.9,spine,,
Žagarinė salonas,10,17,J. K. Beleckas,Nuodėmių gatvė,LT,0.6,spine,,artimiausias K00911 (0.4) nugarėlė iš dalies uždengta lipduku; pavadinimas skaitomas kaip „Nuodėmių gatvė“
Žagarinė salonas,10,18,Algis Balaišis,Lietuvos valstybės sienos apsaugos karininkai 1918–1940 m.,LT,0.9,spine,,artimiausias K00543 (0.4) nugarėlėje senas žemėlapis
Žagarinė salonas,10,20,G. Isokas,Giriose,LT,0.9,spine,,šviesiai žalsva nugarėlė
Žagarinė salonas,10,33,Jan Czeczot / Jonas Čečiotas,Śpiewki o dawnych Litwinach do roku 1434 / Giesmelės apie senovės lietuvius iki 1434 metų,LT,0.9,cover,Zagarine Salonas 10_3.JPG,artimiausias K01491 (0.19) lygiagretus lenkiškas ir lietuviškas tekstas; lentynos nugarėlėse neatpažinta
Žagarinė salonas,10,34,Bronius Dundulis,Napoleono imperijos žlugimas ir Lietuva (1813–1815 m.),LT,0.9,cover,Zagarine Salonas 10_4.JPG,artimiausias K00652 (0.29) serija „Lietuvos istorija“; ta pati knyga nufotografuota ir 10_12
Žagarinė salonas,10,35,,Gedimino laiškai,LT,0.9,cover,Zagarine Salonas 10_5.JPG,"artimiausias K00935 (0.5) antraštinis lapas: Lietuvos TSR mokslų akademija, Istorijos institutas; parengė V. Pašuta ir I. Štal"
Žagarinė salonas,10,37,Henris Rodžersas,Vienos skrybėlės principas,LT,0.9,cover,Zagarine Salonas 10_7.JPG,
Žagarinė salonas,10,38,Og Mandino,Geresnis gyvenimo būdas,LT,0.9,cover,Zagarine Salonas 10_8.JPG,artimiausias K01787 (0.33) raudonas viršelis
Žagarinė salonas,10,39,,Iš kur atėjome,LT,0.9,cover,Zagarine Salonas 10_9.JPG,"antraštinis lapas: sudarė A. Nekrošienė, Kaunas"
Žagarinė salonas,10,40,"Vladas Žulkus, Libertas Klimka",Lietuvos pajūrio žemės viduramžiais,LT,0.9,cover,Zagarine Salonas 10_10.JPG,artimiausias K00537 (0.33) serija „Lietuvos istorija“
Žagarinė salonas,10,41,Kazys Musteikis,Prisiminimų fragmentai,LT,0.9,cover,Zagarine Salonas 10_11.JPG,
Žagarinė salonas,10,42,Petronėlė Žostautaitė,Klaipėda – Lietuvos uostas (1923–1939),LT,0.9,cover,Zagarine Salonas 10_13.JPG,artimiausias K00537 (0.29) serija „Lietuvos istorija“
Žagarinė salonas,10,43,,Lietuvos didieji kunigaikščiai,LT,0.6,cover,Zagarine Salonas 10_14.JPG,artimiausias K00537 (0.4) baltas viršelis su Vytauto Didžiojo medaliu (1392–1430); įrašas rėmelyje gali būti serijos pavadinimas
Žagarinė salonas,10,44,Frank O'Hara,Meditations in an Emergency,EN,0.9,cover,Zagarine Salonas 10_15.JPG,artimiausias K00459 (0.4) 
Žagarinė salonas,10,46,,History of Lithuania,EN,0.9,cover,Zagarine Salonas 10_17.JPG,artimiausias K00271 (0.5) 
Žagarinė salonas,11,6,,,,0.3,spine,,"neįskaitoma: antroje eilėje už priekinių knygų; matosi tik geltonas viršutinis kraštas, nugarėlės nesimato"
Žagarinė salonas,11,7,,,,0.3,spine,,"neįskaitoma: antroje eilėje; matosi tik rudas viršutinis kraštas, nugarėlės nesimato"
Žagarinė salonas,11,8,,,,0.3,spine,,neįskaitoma: šviesiai violetinė (alyvinė) nugarėlė be matomo teksto
Žagarinė salonas,11,11,Algirdas Šidlauskas,Istorija Vilniaus universitete,LT,0.8,spine,,artimiausias K00574 (0.5) plona kreminė knyga
Žagarinė salonas,11,12,,Lietuvos architektūros istorija,LT,0.6,spine,,"artimiausias K01365 (0.57) nugarėlės viršuje romėniškas tomo numeris (atrodo „II“) ir smulkus paantraštės tekstas „nuo XVII a. pradžios iki XIX a. vidurio“ — blizgi nugarėlė, sunkiai įskaitoma"
Žagarinė salonas,11,24,Romas Pakalnis,"Verkiai. Praeitis, dabartis, svajonės",LT,0.9,cover,Zagarine Salonas 11_3.JPG,lentynos nuotraukoje neatpažinta
Žagarinė salonas,11,25,Irena Jučienė,Vilniaus artilerijos bastionas,LT,0.9,cover,Zagarine Salonas 11_4.JPG,artimiausias K01603 (0.4) serija „Lietuvos TSR kultūros paminklai“; lentynos nuotraukoje neatpažinta
Žagarinė salonas,11,26,,Vilniaus universitetui – 400 metų,LT,0.9,cover,Zagarine Salonas 11_5.JPG,"artimiausias K01603 (0.33) serija „Lietuva šiandien“, 15; sudarytojas V. Kazakevičius, nuotraukos R. Vilavičiaus; lentynos nuotraukoje neatpažinta"
Žagarinė salonas,11,27,,Vilniaus universiteto botanikos sodas / Hortus Botanicus Universitatis Vilnensis,LT,0.9,cover,Zagarine Salonas 11_6.JPG,artimiausias K00575 (0.31) lentynos nuotraukoje neatpažinta
Žagarinė salonas,11,28,,Vilniaus miesto istorija nuo Spalio revoliucijos iki dabartinių dienų,LT,0.9,cover,Zagarine Salonas 11_7.JPG,"artimiausias K01491 (0.33) Lietuvos TSR mokslų akademija, Istorijos institutas; lentynos nuotraukoje neatpažinta"
Žagarinė salonas,11,29,,Academia et Universitas Vilnensis,kita,0.85,cover,Zagarine Salonas 11_8.JPG,"antraštinis lapas lotyniškai; dokumentų rinkinys, Lietuvos TSR centrinis valstybinis istorijos archyvas; lentynos nuotraukoje neatpažinta"
Žagarinė salonas,11,30,Matas Grigonis,200 žaidimų,LT,0.9,cover,Zagarine Salonas 11_9.JPG,lentynos nuotraukoje neatpažinta; temiškai nesiderina su lentynos turiniu
Žagarinė salonas,11,31,Lina Žutautė,Kuka Muka i skrzat Nieład,PL,0.9,cover,Zagarine Salonas 11_10.JPG,lenkiškas „Kakė Makė“ leidimas; lentynos nuotraukoje neatpažinta
Žagarinė salonas,12,1,,Polska,PL,0.6,spine,,"didelis tamsiai raudonas albumas, auksinės raidės „POLSKA“; pasviręs prie kairės spintos sienelės"
Žagarinė salonas,12,2,,,,0.3,spine,,"neįskaitoma: už „Polska“ pasviręs tomas, matyti tik viršelio fotografija (jūra / sniegas, mėlynas dangus); teksto nesimato"
Žagarinė salonas,12,3,,,PL,0.3,spine,,"neįskaitoma: raudona nugarėlė su smulkiu sąrašu „Karpaty, Wyżyny, Sudety, Niziny, Niziny, Pobrzeża“ ir didele auksine raide; pavadinimas užstotas. Gali būti ta pati knyga kaip pos 2"
Žagarinė salonas,12,8,Antanas A. Jonynas,Kambarys,LT,0.6,spine,,smulkus šriftas ant kreminės nugarėlės
Žagarinė salonas,12,14,Justinas Marcinkevičius,Papasakoti gyvenimą,LT,0.9,spine,,žalias viršelis
Žagarinė salonas,12,15,Nerija Putinaitė,Skambantis molis,LT,0.9,spine,,artimiausias K00600 (0.46) paantraštė „Dainų šventės ir Justino Marcinkevičiaus trilogija kaip sovietinio lietuviškumo ramsčiai“
Žagarinė salonas,12,18,Александр Генис,Том 1. Культурология,RU,0.9,spine,Zagarine Salonas 12_1.JPG,"artimiausias K00589 (0.55) rožinė nugarėlė; turinys: американская азбука, вавилонская башня, билет в китай, книга пейзажей"
Žagarinė salonas,12,20,Александр Генис,Том 2. Расследования,RU,0.9,cover,Zagarine Salonas 12_1.JPG,"artimiausias K00588 (0.55) geltona nugarėlė; turinys: беседы о новой словесности, швы времени, частный случай"
Žagarinė salonas,12,21,Justinas Marcinkevičius,Dienoraščiai ir datos,LT,0.9,cover,Zagarine Salonas 12_1.JPG,pilkšvai žalias aplankas su mėlynu autoriaus parašu
Žagarinė salonas,12,30,В. А. Туголуков,"Кто вы, юкагиры?",RU,0.9,cover,Zagarine Salonas 12_2.JPG,nufotografuota atskirai ant stalo; lentynos eilėje neatpažinta
Žagarinė salonas,12,31,,,RU,0.3,cover,Zagarine Salonas 12_2.JPG,"neįskaitoma: ant „Кто вы, юкагиры?“ uždėta kita knyga: baltas viršelis su geltonu uolų piešinių (petroglifų) langeliu ir juostele „Издательство Наука“; pavadinimas neįskaitomas"
Žagarinė salonas,12,32,К. С. Лосев,Страна вечной зимы,RU,0.9,cover,Zagarine Salonas 12_3.JPG,artimiausias K00158 (0.22) nufotografuota ant stalo
Žagarinė salonas,12,33,Justinas Marcinkevičius,"Pušis, kuri juokėsi",LT,0.9,cover,Zagarine Salonas 12_4.JPG,"artimiausias K01610 (0.29) senas kietas viršelis, žalsvai rusvas"
Žagarinė salonas,12,34,,Miškas šaukia,LT,0.6,cover,Zagarine Salonas 12_5.JPG,"plona brošiūra; autoriaus eilutė neryški, panašu į „Lionas Semerlis“; paantraštė „Praktiški patarimai medžiotojui, grybautojui, uogautojui, poilsiautojui ir visiems gamtos mylėtojams“"
Žagarinė salonas,12,35,,Kurių bus viršus?,LT,0.6,cover,Zagarine Salonas 12_6.JPG,"sena suplyšusi brošiūra su Ex libris antspaudu; viršuje „Lietuvių Darbininkų Sąjungos leidinys Nr. ...“, autoriaus eilutė („Parašė ...“) neįskaitoma"
Žagarinė salonas,12,36,Ričardas Darškus,Pietryčių Lietuvos miškais,LT,0.6,cover,Zagarine Salonas 12_7.JPG,"artimiausias K00537 (0.4) antraštinis lapas; autoriaus pavardė neryški (gali būti Darškus / Daršhus), leidykla ir metai apačioje neįskaitomi"
Žagarinė salonas,12,38,Marcelijus Martinaitis,Vainikas,LT,0.9,cover,Zagarine Salonas 12_9.JPG,pilkšvas aplankas su grafiniu piešiniu
Žagarinė salonas,12,39,Leonardas Gutauskas,Svetingumo namai,LT,0.9,cover,Zagarine Salonas 12_10.JPG,"artimiausias K00380 (0.4) antraštinis lapas: „Eilėraščiai“, Vilnius, 1980"
Žagarinė salonas,12,40,"Галина Фёдоровна Самойлова, Римма Алексеевна Панина","Люди, изучающие Горный Алтай",RU,0.3,cover,Zagarine Salonas 12_11.JPG,"nufotografuotas metrikos puslapis, tekstas labai neryškus; paantraštė „В помощь учителю и учащимся начальных классов по краеведению“"
Žagarinė salonas,12,41,,"Алтай, 1983, № 1",RU,0.6,cover,Zagarine Salonas 12_12.JPG,"almanachas; nufotografuotas metrikos ir turinio puslapis, viršelis matomas 12_16 nuotraukoje"
Žagarinė salonas,12,43,Maironis,Pavasario balsai,LT,0.9,cover,Zagarine Salonas 12_14.JPG,senas drobinis viršelis su mėlynu langeliu
Žagarinė salonas,13,1,Kristina Sabaliauskaitė,Silva Rerum IV,LT,0.9,spine,,kietas šviesiai rausvas viršelis
Žagarinė salonas,13,10,Juozas Požėra,Mano vienintelis rūpestis,LT,0.9,spine,,"artimiausias K01607 (0.55) juoda nugarėlė, autorius žydromis raidėmis"
Žagarinė salonas,13,15,Tomas Staniulis,Uranas-235,LT,0.9,spine,,"juoda nugarėlė, autorius oranžinėmis raidėmis"
Žagarinė salonas,13,22,Борис Акунин,Турецкий гамбит,RU,0.9,spine,,juoda nugarėlė
Žagarinė salonas,13,24,,,LT,0.3,cover,Zagarine Salonas 13_2.JPG,"neįskaitoma: nufotografuotas tik turinio lapas — poezijos antologija, 14 autorių: Vaida Blažytė, Marius Burokas, Jurgita Butkytė, Tomas S. Butkus, Laura Sintija Černiauskaitė, Viktorija Ivanova, Giedrė Kazlauskaitė, Gabrielė Klimaitė, Rimantas Kmita, Donatas Petrošius, Aistė Ptakauskaitė, Tomas Staniulis, Indrė Valantinaitė, Agnė Žagrakalytė; pavadinimo nematyti"
Žagarinė salonas,13,26,Чингиз Айтматов,Плаха,RU,0.9,cover,Zagarine Salonas 13_4.JPG,aplankas nuplyšusiais kraštais
Žagarinė salonas,13,27,J. Januškienė,Viskas iš lino,LT,0.9,cover,Zagarine Salonas 13_5.JPG,minkštas viršelis su nėrinių raštais
Žagarinė salonas,13,28,A. Pelakauskienė,Staltiesėlės,LT,0.9,cover,Zagarine Salonas 13_6.JPG,mėlynas viršelis su nėrinių nuotrauka
Žagarinė salonas,13,29,Zita Jurgilaitė,Nova – Zanavykų upė,LT,0.9,cover,Zagarine Salonas 13_7.JPG,"antraštinis lapas; paantraštė „Geografinė - istorinė apybraiža“; Šakiai, 1998"
Žagarinė salonas,13,30,Karl Kaiser,Englisches Lesebuch in drei Stufen für höhere Lehranstalten,DE,0.9,cover,Zagarine Salonas 13_8.JPG,"antraštinis lapas; Dritter Theil. Oberstufe; Leipzig, 1877"
Žagarinė salonas,13,31,H. Andrews,Say It With Us,EN,0.9,cover,Zagarine Salonas 13_9.JPG,"artimiausias K01823 (0.2) antraštinis lapas; bendraautoriai J. Rusiecki ir J. Smólska; anglų kalbos kursas su plokštelėmis, rusiškas vertimas I. Sabik-Korganova; Varšuva, 1974"
Žagarinė salonas,13,33,Ričardas Gavelis,Jauno žmogaus memuarai,LT,0.9,cover,Zagarine Salonas 13_11.JPG,artimiausias K00440 (0.33) žydras viršelis
Žagarinė salonas,13,34,Vytautas Misevičius,Jaunasis pagonis,LT,0.9,cover,Zagarine Salonas 13_12.JPG,gelsvas viršelis su žirgų piešiniu
Žagarinė salonas,14,1,Ivanas Jefremovas,Vėjų keliai,LT,0.8,spine,,šviesiai smėlinė nugarėlė
Žagarinė salonas,14,2,Paulius Ambrazevičius,Protų dvikova 2,LT,0.9,spine,,nugarėlėje „2“ ir „Nauji 1070 klausimų ir atsakymų!“
Žagarinė salonas,14,3,,,LT,0.3,spine,,"neįskaitoma: knyga guli už kitų, priekiu į kadrą; matoma tik tamsiai žalsva viršelio dalis su geltona juosta („Nauji 10…“) ir didelėmis tamsiomis raidėmis „DD…“ — tikėtina dar vienas „Protų dvikovos“ tomas"
Žagarinė salonas,14,4,Vladas Portapas,Apie tvaną ir Atlantidą,LT,0.6,spine,,artimiausias K00062 (0.33) nugarėlėje be diakritikų: „APIE TVANA IR ATLANTIDA“; autoriaus pavardė neryški
Žagarinė salonas,14,6,Pilkoji Pelėda,Apleistos trobelės pasakojimai,LT,0.8,spine,,"tamsiai žalia drobė, oranžinės raidės"
Žagarinė salonas,14,8,,,,0.3,spine,,"neįskaitoma: knyga įstrižai už kitų; matomas tik aplanko kraštas — oranžinis apačioje, iliustracija su rudais medžiais geltonai žaliame fone; nugarėlės teksto nesimato"
Žagarinė salonas,14,16,Vincas Krėvė,Apsakymai ir padavimai,LT,0.8,spine,,artimiausias K01239 (0.4) labai apiplyšusi nugarėlė; autorius patvirtintas iš nuotraukos 14_1
Žagarinė salonas,14,21,Rory Ryder,Verbots. Learn Spanish Verbs,EN,0.9,cover,Zagarine Salonas 14_2.JPG,"nufotografuota ant stalo, ne lentynoje; viršelyje „International best seller“"
Žagarinė salonas,14,22,,Vokiečių kalba per 30 dienų,LT,0.9,cover,Zagarine Salonas 14_3.JPG,"artimiausias K00030 (0.29) trumpas kalbos kursas, A2, su 2 audio CD; nufotografuota ant stalo, dar celofane"
Žagarinė salonas,14,23,Gevinas Maksvelis,Tyro vandens ratas,LT,0.9,cover,Zagarine Salonas 14_4.JPG,artimiausias K00125 (0.4) serija „Noriu žinoti“; nufotografuota ant stalo
Žagarinė salonas,14,24,Eduardas Štorchas,Mamutų medžiotojai,LT,0.9,cover,Zagarine Salonas 14_5.JPG,artimiausias K00836 (0.29) senas apiplyšęs viršelis; nufotografuota ant stalo
Žagarinė salonas,14,25,Владимир Бардин,Ещё одно путешествие на край земли,RU,0.9,cover,Zagarine Salonas 14_6.JPG,nufotografuota ant stalo
Žagarinė salonas,14,26,J. Jasaitis,Žemaitė,LT,0.9,cover,Zagarine Salonas 14_7.JPG,antraštinis lapas; serija „Gyvenimas ir kūryba“; Kaunas
Žagarinė salonas,14,27,"Victor Mollo, Nico Gardener",Bridge for Beginners,EN,0.9,cover,Zagarine Salonas 14_8.JPG,"artimiausias K00444 (0.29) antraštinis lapas; London, 3 Henrietta Street, W.C.2"
Žagarinė salonas,14,28,Тур Хейердал,Путешествие на «Кон-Тики». Аку-Аку,RU,0.9,cover,Zagarine Salonas 14_9.JPG,antraštinis lapas; Алма-Ата
Žagarinė salonas,15,11,Piotr Zychowicz,Paktas Piłsudskio–Lenino,LT,0.9,spine,,artimiausias K00358 (0.55) 
Žagarinė salonas,15,14,Вейо Мери,"Карл Густав Маннергейм, маршал Финляндии",RU,0.9,spine,,
Žagarinė salonas,15,18,,,RU,0.3,spine,,neįskaitoma: į gilumą įstumta knyga; ant viršelio Stalino nuotrauka ir tekstas „…вики … бы взя…“; nugarėlė neįskaitoma
Žagarinė salonas,15,23,Ф. Энгельс,Людвиг Фейербах и конец классической немецкой философии,RU,0.9,cover,Zagarine Salonas 15_2.JPG,artimiausias K00158 (0.17) lentynos nugarėlėse neatpažinta
Žagarinė salonas,15,24,,TSRS–Vokietija 1939. Dokumentai. 1,LT,0.6,cover,Zagarine Salonas 15_3.JPG,antraštinis lapas dviem kalbomis: „TSRS–Vokietija 1939“ / „СССР–Германия 1939“; lentynos nugarėlėse neatpažinta
Žagarinė salonas,15,25,Д. Александров,Крёстный отец партаппарата,RU,0.9,cover,Zagarine Salonas 15_4.JPG,lentynos nugarėlėse neatpažinta
Žagarinė salonas,15,26,,,RU,0.3,cover,Zagarine Salonas 15_5.JPG,"neįskaitoma: neryški antraštinio lapo nuotrauka; įskaitoma tik „…Россия — М.: ОЛМА-ПРЕСС, 2007. — 382 с.“"
Žagarinė salonas,16,10,Lewis Mumford,The City in History,EN,0.9,spine,,artimiausias K00463 (0.5) apiplyšęs aplankas
Žagarinė salonas,16,20,,,,0.3,cover,Zagarine Salonas 16_1.JPG,"neįskaitoma: knyga stovi už eilės; matomas tik apiplyšęs alyvinės–rusvos spalvos nugarėlės viršus, teksto neįskaityti"
Žagarinė salonas,16,26,А. Т. Болотов,В Кёнигсберге,RU,0.9,cover,Zagarine Salonas 16_3.JPG,nufotografuota ant stalo
Žagarinė salonas,16,28,Adriaan D. de Groot,Methodology: Foundations of Inference and Research in the Behavioral Sciences,EN,0.8,cover,Zagarine Salonas 16_5.JPG,"artimiausias K00069 (0.27) antraštinis lapas, The Hague – Paris; metai neįskaitomi (196?); ranka rašyta „Z. Gaudiešius 2000“"
Žagarinė salonas,16,30,Orhan Pamuk,Istanbul: Memories and the City,EN,0.9,cover,Zagarine Salonas 16_7.JPG,artimiausias K00399 (0.48) nufotografuota ant stalo
Žagarinė salonas,17,4,Stephen Little,…izmai,LT,0.9,spine,,artimiausias K00404 (0.55) 
Žagarinė salonas,17,5,Ričardas Kazlauskas,Mano numylėtiniai,LT,0.9,spine,,artimiausias K00549 (0.5) 
