Nr.,Autorius,Pavadinimas,Originalo pavadinimas,Kalba,Leidykla,Metai,Žanras,Serija,Puslapiai,ISBN,Lentynos vieta,Pastabos,Teminė linija,Subgrupė,ID,Statusas,Dabartinis laikytojas,Būklė,Kaina (EUR),Įsigijimo data,Įsigijimo šaltinis,Tiražas,Originalo metai,Foto,Atnaujinta,Kas atnaujino,Patalpa,Lentyna
356.0,Nikolajus Bucharinas (Н. Бухарин),Проблемы теории и практики социализма,,Rusų,,,Politinė teorija,,,,"Spinta C, 1 lentyna",,E29. XX a. totalitarizmai ir karai,,K00356,Lentynoje,,,,,,,,,,,,
357.0,,Феликс Эдмундович Дзержинский,,Rusų,,,Biografija,,,,"Spinta C, 1 lentyna",PATIKSLINTI autorių,E29. XX a. totalitarizmai ir karai,,K00357,Lentynoje,,,,,,,,,,,,
358.0,Piotr Zychowicz,Pilsudskio–Lenino (?),,Lietuvių,Briedis,,Istorija,,,,"Spinta C, 1 lentyna",PATIKSLINTI tikslų pavadinimą,E29. XX a. totalitarizmai ir karai,,K00358,Lentynoje,,,,,,,,,,,,
359.0,Mikhail Khodorkovsky,My Fellow Prisoners,,Anglų,Penguin,,Memuarai,,,,"Spinta C, 1 lentyna",,E32. Biografijos ir memuarai,Asmenybės ir memuarai,K00359,Lentynoje,,,,,,,,,,,,
360.0,Valerijus Karyšev (Валерий Карышев),Современные тюрьмы: от авторитета до олигарха,,Rusų,,,Dokumentika,Легенды преступного мира,,,"Spinta C, 1 lentyna",,E29. XX a. totalitarizmai ir karai,,K00360,Lentynoje,,,,,,,,,,,,
361.0,Carl Gustaf Mannerheim (Карл Густав Маннергейм),Мемуары,,Rusų,,,Memuarai,,,,"Spinta C, 1 lentyna",,E29. XX a. totalitarizmai ir karai,,K00361,Lentynoje,,,,,,,,,,,,
362.0,,Россия. Проект,,Rusų,,,Istorija / publicistika,,,,"Spinta C, 1 lentyna",Padėta gulsčiai. PATIKSLINTI autorių,E31. Istorijos biblioteka,Šalių ir epochų istorijos,K00362,Lentynoje,,,,,,,,,,,,
363.0,Nikolajus Berdiajevas (Н. А. Бердяев),Истоки и смысл русского коммунизма,,Rusų,,,Filosofija,,,,"Spinta C, 1 lentyna",Padėta gulsčiai. Rusų komunizmo ištakos ir prasmė,D20. XX a. ir lietuvių filosofija,,K00363,Lentynoje,,,,,,,,,,,,
364.0,G. D. H. Cole,Socialist Thought: The Forerunners 1789–1850,,Anglų,Macmillan,,Politinė teorija / istorija,,,,"Spinta C, 1 lentyna",,E31. Istorijos biblioteka,Šalių ir epochų istorijos,K00364,Lentynoje,,,,,,,,,,,,
365.0,Louis Althusser,Lenin and Philosophy and Other Essays,,Anglų,Monthly Review Press,,Filosofija,,,,"Spinta C, 1 lentyna",,D19. Filosofijos klasika,Antika–Apšvieta,K00365,Lentynoje,,,,,,,,,,,,
366.0,Simon Sebag Montefiore,Stalinas: Raudonojo caro dvaras,Stalin: The Court of the Red Tsar,Lietuvių,Tyto alba,,Istorija / biografija,,,,"Spinta C, 1 lentyna",,E29. XX a. totalitarizmai ir karai,,K00366,Lentynoje,,,,,,,,,,,,
367.0,Robert Service,Stalinas,Stalin: A Biography,Lietuvių,Obuolys,,Biografija,,,,"Spinta C, 1 lentyna",,E29. XX a. totalitarizmai ir karai,,K00367,Lentynoje,,,,,,,,,,,,
368.0,Edvardas Radzinskis (Эдвард Радзинский),Три смерти,,Rusų,,,Istorija,,,,"Spinta C, 1 lentyna",PATIKSLINTI,E31. Istorijos biblioteka,Šalių ir epochų istorijos,K00368,Lentynoje,,,,,,,,,,,,
369.0,Robert Service,Leninas,Lenin: A Biography,Lietuvių,Obuolys,,Biografija,,,,"Spinta C, 1 lentyna",,E29. XX a. totalitarizmai ir karai,,K00369,Lentynoje,,,,,,,,,,,,
370.0,Brian Crozier,The Rise and Fall of the Soviet Empire,,Anglų,Forum / Prima,,Istorija,,,,"Spinta C, 1 lentyna",,E31. Istorijos biblioteka,Šalių ir epochų istorijos,K00370,Lentynoje,,,,,,,,,,,,
371.0,,,,Rusų,,,,,,,"Spinta C, 1 lentyna",PATIKSLINTI: juoda knyga su kario atvaizdu („Antra knyga“) — nugarėlė neįskaitoma,A4. Rusų lentyna (originalo k.),XIX a. klasika (Gogolis–Čechovas),K00371,Lentynoje,,,,,,,,,,,,
372.0,Arnolds Spekke,History of Latvia: An Outline,,Anglų,Jumava,,Istorija,,,,"Spinta C, 2 lentyna",Padėta gulsčiai,E31. Istorijos biblioteka,Šalių ir epochų istorijos,K00372,Lentynoje,,,,,,,,,,,,
373.0,Norman Davies,Dievo žaislas: Lenkijos istorija (II tomas),God's Playground,Lietuvių,ALK,,Istorija,,,,"Spinta C, 2 lentyna",Padėta gulsčiai,E31. Istorijos biblioteka,Šalių ir epochų istorijos,K00373,Lentynoje,,,,,,,,,,,,
374.0,Sud. Chris Jenks,Core Sociological Dichotomies,,Anglų,SAGE,,Sociologija,,,,"Spinta C, 2 lentyna",,"D25. Sociologija, semiotika, antropologija",,K00374,Lentynoje,,,,,,,,,,,,
375.0,Roger King,The State in Modern Society,,Anglų,Chatham House,,Politologija,,,,"Spinta C, 2 lentyna",,F33. Geopolitika ir publicistika,,K00375,Lentynoje,,,,,,,,,,,,
376.0,,Американская социологическая мысль,,Rusų,,,Sociologija / antologija,,,,"Spinta C, 2 lentyna",Amerikiečių sociologinė mintis,A3. Klasikos kanonas (pagal šalis),Rusų klasika vertimuose,K00376,Lentynoje,,,,,,,,,,,,
377.0,Alan Weisman,The World Without Us,,Anglų,Picador,,Negrožinė / mokslas,,,,"Spinta C, 2 lentyna",,F36. Mokslo ir idėjų istorija,,K00377,Lentynoje,,,,,,,,,,,,
378.0,,Institutional Economics,,Anglų,University of California Press,,Ekonomika,,,,"Spinta C, 2 lentyna",PATIKSLINTI autorių,F32. Ekonomika ir politinė ekonomija,,K00378,Lentynoje,,,,,,,,,,,,
379.0,Michael Shellenberger,Apokalipsės nebus,Apocalypse Never,Lietuvių,,,Negrožinė / aplinkosauga,,,,"Spinta C, 2 lentyna",,A50. Lietuvių XX–XXI a. literatūra,Šiuolaikinė proza,K00379,Lentynoje,,,,,,,,,,,,
380.0,Greta Thunberg; Svante Thunberg; Beata ir Malena Ernman,Lyg degtų namai,Scener ur hjärtat,Lietuvių,Alma littera,,Negrožinė,,,,"Spinta C, 2 lentyna",,A50. Lietuvių XX–XXI a. literatūra,Šiuolaikinė proza,K00380,Lentynoje,,,,,,,,,,,,
381.0,Frank Partnoy,F.I.A.S.C.O.,,Anglų,,,Finansai / memuarai,,,,"Spinta C, 2 lentyna",,E32. Biografijos ir memuarai,Asmenybės ir memuarai,K00381,Lentynoje,,,,,,,,,,,,
382.0,Arthur L. Bowley,The Measurement of Social Phenomena,,Anglų,P. S. King & Son,,Statistika / sociologija,,,,"Spinta C, 2 lentyna",,"D25. Sociologija, semiotika, antropologija",,K00382,Lentynoje,,,,,,,,,,,,
383.0,Lewis Mumford,The City in History,,Anglų,"Harcourt, Brace & World",,Istorija / urbanistika,,,,"Spinta C, 2 lentyna",,E31. Istorijos biblioteka,Šalių ir epochų istorijos,K00383,Lentynoje,,,,,,,,,,,,
384.0,Timur Vermes,Jis ir vėl čia,Er ist wieder da,Lietuvių,Alma littera,,Romanas / satyra,,,,"Spinta C, 2 lentyna",,B9. Šiuolaikinė pasaulio proza,Šiuolaikinis pasaulio romanas,K00384,Lentynoje,,,,,,,,,,,,
385.0,Barack Obama,The Audacity of Hope,,Anglų,Crown,,Politika,,,,"Spinta C, 2 lentyna",,F33. Geopolitika ir publicistika,,K00385,Lentynoje,,,,,,,,,,,,
386.0,Talcott Parsons,Social Structure and Personality,,Anglų,Free Press,,Sociologija,,,,"Spinta C, 2 lentyna",,"D25. Sociologija, semiotika, antropologija",,K00386,Lentynoje,,,,,,,,,,,,
387.0,Joel Bakan,Korporacija: patologiškas pelno ir galios siekimas,The Corporation,Lietuvių,,,Ekonomika / visuomenė,,,,"Spinta C, 2 lentyna",,F32. Ekonomika ir politinė ekonomija,,K00387,Lentynoje,,,,,,,,,,,,
388.0,Robin Marris,The Economic Theory of 'Managerial' Capitalism,,Anglų,Macmillan,,Ekonomika,,,,"Spinta C, 2 lentyna",,F32. Ekonomika ir politinė ekonomija,,K00388,Lentynoje,,,,,,,,,,,,
389.0,Al Gore,Nepatogi tiesa,An Inconvenient Truth,Lietuvių,Obuolys,,Negrožinė / aplinkosauga,,,,"Spinta C, 2 lentyna",,A50. Lietuvių XX–XXI a. literatūra,Šiuolaikinė proza,K00389,Lentynoje,,,,,,,,,,,,
390.0,Gunnar Myrdal,Asian Drama (I tomas),,Anglų,Pantheon,,Ekonomika,,,,"Spinta C, 2 lentyna",,F32. Ekonomika ir politinė ekonomija,,K00390,Lentynoje,,,,,,,,,,,,
391.0,Paul Krugman,The Return of Depression Economics,,Anglų,Penguin,,Ekonomika,,,,"Spinta C, 2 lentyna",,F32. Ekonomika ir politinė ekonomija,,K00391,Lentynoje,,,,,,,,,,,,
392.0,Daron Acemoglu; James A. Robinson,Why Nations Fail,,Anglų,Penguin,,Ekonomika / istorija,,,,"Spinta C, 2 lentyna",,E31. Istorijos biblioteka,Šalių ir epochų istorijos,K00392,Lentynoje,,,,,,,,,,,,
393.0,Ferdinand Lundberg,The Rich and the Super-Rich,,Anglų,Nelson,,Ekonomika / visuomenė,,,,"Spinta C, 2 lentyna",,F32. Ekonomika ir politinė ekonomija,,K00393,Lentynoje,,,,,,,,,,,,
394.0,Charles P. Loomis (?),Modern Social Theories,,Anglų,Van Nostrand,,Sociologija,,,,"Spinta C, 2 lentyna",PATIKSLINTI autorių,"D25. Sociologija, semiotika, antropologija",,K00394,Lentynoje,,,,,,,,,,,,
395.0,John T. Noonan,Bribes,,Anglų,Macmillan,,Istorija / teisė,,,,"Spinta C, 2 lentyna",,E31. Istorijos biblioteka,Šalių ir epochų istorijos,K00395,Lentynoje,,,,,,,,,,,,
396.0,Carl F. Christ (?),Econometric Models and Methods,,Anglų,Wiley,,Ekonometrija,,,,"Spinta C, 2 lentyna",Nr. 89. PATIKSLINTI autorių,F32. Ekonomika ir politinė ekonomija,,K00396,Lentynoje,,,,,,,,,,,,
397.0,Sud. Ruth Reichl,Remembrance of Things Paris: Sixty Years of Writing from Gourmet,,Anglų,,,Esė / kulinarija,,,,"Spinta C, 2 lentyna",Padėta gulsčiai,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K00397,Lentynoje,,,,,,,,,,,,
398.0,Martin Meredith,The State of Africa,,Anglų,,,Istorija,,,,"Spinta C, 2 lentyna",Padėta gulsčiai,E31. Istorijos biblioteka,Šalių ir epochų istorijos,K00398,Lentynoje,,,,,,,,,,,,
399.0,Orhan Pamuk,Istanbul,İstanbul: Hatıralar ve Şehir,Anglų,,,Memuarai / esė,,,,"Spinta C, 2 lentyna",Padėta gulsčiai,B9. Šiuolaikinė pasaulio proza,Nobelio laureatai,K00399,Lentynoje,,,,,,,,,,,,
400.0,Norman Davies,Dievo žaislas: Lenkijos istorija (I tomas),God's Playground,Lietuvių,ALK,,Istorija,,,,"Spinta C, 2 lentyna",Padėta gulsčiai,E31. Istorijos biblioteka,Šalių ir epochų istorijos,K00400,Lentynoje,,,,,,,,,,,,
401.0,Karl R. Popper (K. R. Popperis),Istoricizmo skurdas,The Poverty of Historicism,Lietuvių,,,Filosofija,,,,"Spinta C, 3 lentyna",Padėta gulsčiai,D20. XX a. ir lietuvių filosofija,,K00401,Lentynoje,,,,,,,,,,,,
402.0,Platonas,Dialogai / rinktinė,,Lietuvių,Pradai,,Filosofija,,,,"Spinta C, 3 lentyna",PATIKSLINTI tikslų pavadinimą,D19. Filosofijos klasika,Antika–Apšvieta,K00402,Lentynoje,,,,,,,,,,,,
403.0,Marcelijus Martinaitis,Maksvelis,,Lietuvių,,,Eseistika / poezija,,,,"Spinta C, 3 lentyna",,A50. Lietuvių XX–XXI a. literatūra,Poezija,K00403,Lentynoje,,,,,,,,,,,,
404.0,Stephen Little,…izmai: kaip suprasti meną,…isms: Understanding Art,Lietuvių,,,Menotyra,,,,"Spinta C, 3 lentyna",,"H48. Menas, kalbos, pomėgiai",Pasaulio dailės albumai,K00404,Lentynoje,,,,,,,,,,,,
405.0,Ričardas Kazlauskas,Rinktinė,,Lietuvių,,,Proza,,,,"Spinta C, 3 lentyna",PATIKSLINTI tikslų pavadinimą,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K00405,Lentynoje,,,,,,,,,,,,
406.0,,Lietuvos Respublikos Konstitucija,,Lietuvių,,,Teisė,,,,"Spinta C, 3 lentyna",,A50. Lietuvių XX–XXI a. literatūra,Šiuolaikinė proza,K00406,Lentynoje,,,,,,,,,,,,
407.0,Dale Carnegie,Kaip atsikratyti nerimo ir pradėti gyventi,How to Stop Worrying and Start Living,Lietuvių,,,Saviugda,,,,"Spinta C, 3 lentyna",,D23. Psichologija ir saviugda,Saviugda,K00407,Lentynoje,,,,,,,,,,,,
408.0,John Fowles,Kolekcionierius,The Collector,Lietuvių,,,Romanas,,,,"Spinta C, 3 lentyna",,B9. Šiuolaikinė pasaulio proza,Šiuolaikinis pasaulio romanas,K00408,Lentynoje,,,,,,,,,,,,
409.0,,Mažoji mokslo enciklopedija,,Lietuvių,Akteja,,Enciklopedija,,,,"Spinta C, 3 lentyna",,A50. Lietuvių XX–XXI a. literatūra,Šiuolaikinė proza,K00409,Lentynoje,,,,,,,,,,,,
410.0,Vytenis Almonaitis; Junona Almonaitienė,Gudaičių kaimas 1938–1948 metais,,Lietuvių,,,Kraštotyra / memuarai,,,,"Spinta C, 3 lentyna",PATIKSLINTI,E32. Biografijos ir memuarai,Asmenybės ir memuarai,K00410,Lentynoje,,,,,,,,,,,,
411.0,Vytenis Almonaitis,Vėl šniokščia rėvos (I–VII dalys),,Lietuvių,,,Kraštotyra,,,,"Spinta C, 3 lentyna",,E27. LDK ir Lietuvos istorija,Kraštotyra,K00411,Lentynoje,,,,,,,,,,,,
412.0,Lew Wallace,Kristaus istorija,,Lietuvių,,,Religinė proza,,,,"Spinta C, 3 lentyna",PATIKSLINTI (galimai „Ben Huras“ ar Kristaus vaikystė),A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K00412,Lentynoje,,,,,,,,,,,,
413.0,,Šiaurės skalva,,Lietuvių,,,Proza / kraštotyra,,,,"Spinta C, 3 lentyna",PATIKSLINTI autorių,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K00413,Lentynoje,,,,,,,,,,,,
414.0,Immanuel Kant (I. Kantas),Rinktinė,,Lietuvių,,,Filosofija,,,,"Spinta C, 3 lentyna",PATIKSLINTI tikslų pavadinimą,D19. Filosofijos klasika,Vokiečių idealizmas ir XIX a.,K00414,Lentynoje,,,,,,,,,,,,
415.0,José Ortega y Gasset (Ch. Ortega i Gasetas),Rinktinė,,Lietuvių,,,Filosofija,,,,"Spinta C, 3 lentyna",PATIKSLINTI tikslų pavadinimą,D20. XX a. ir lietuvių filosofija,,K00415,Lentynoje,,,,,,,,,,,,
416.0,Erich Fromm (E. Fromas),Rinktinė,,Lietuvių,,,Filosofija / psichologija,,,,"Spinta C, 3 lentyna",PATIKSLINTI tikslų pavadinimą,D23. Psichologija ir saviugda,Šiuolaikinė psichologija,K00416,Lentynoje,,,,,,,,,,,,
417.0,Karl Jaspers (K. Jaspersas),Rinktinė,,Lietuvių,,,Filosofija,,,,"Spinta C, 3 lentyna",PATIKSLINTI tikslų pavadinimą,D20. XX a. ir lietuvių filosofija,,K00417,Lentynoje,,,,,,,,,,,,
418.0,Nagendra Singh,"International Maritime Law Conventions (British Shipping Laws), 4 tomai",,Anglų,Stevens,,Teisė,British Shipping Laws,,,"Spinta C, 3 lentyna",Volume 1–4 (odinis komplektas),"X. Ūkinė zona: žinynai, vadovėliai, periodika",,K00418,Lentynoje,,,,,,,,,,,,
419.0,,,,,,,,,,,"Spinta C, 3 lentyna","PATIKSLINTI: keli maži tomeliai kairėje (juodi, be aiškaus teksto) — reikia iš arčiau","X. Ūkinė zona: žinynai, vadovėliai, periodika",,K00419,Lentynoje,,,,,,,,,,,,
420.0,Dan Hill,Emotionomics,,Anglų,Kogan Page,,Verslas / marketingas,,,,"Spinta C, 4 lentyna",PATIKSLINTI,G38. Marketingas ir prekės ženklai,★ pora: originalas + vertimas,K00420,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio Rūtos,2.0
421.0,Gary Hamel,The Future of Management,,Anglų,Harvard Business Review Press,,Vadyba,,,,"Spinta C, 4 lentyna",,G37. Strategija ir vadyba,,K00421,Lentynoje,,,,,,,,,,,,
422.0,Sydney Finkelstein,Kodėl žlunga šaunūs vadovai,Why Smart Executives Fail,Lietuvių,VGA,,Vadyba,,,,"Spinta C, 4 lentyna",,G37. Strategija ir vadyba,,K00422,Lentynoje,,,,,,,,,,,,
423.0,Gary Hamel; Bill Breen,Vadybos ateitis,The Future of Management,Lietuvių,Baltos lankos / ALK,,Vadyba,,,,"Spinta C, 4 lentyna",Lietuviškas „The Future of Management“ leidimas,G37. Strategija ir vadyba,,K00423,Lentynoje,,,,,,,,,,,,
424.0,Marshall McLuhan,Kaip suprasti medijas,Understanding Media,Lietuvių,Baltos lankos,,Medijos / komunikacija,,,,"Spinta C, 4 lentyna",,"D25. Sociologija, semiotika, antropologija",,K00424,Lentynoje,,,,,,,,,,,,
425.0,Richard Branson,Business Stripped Bare,,Anglų,Virgin Books,,Verslas / memuarai,,,,"Spinta C, 4 lentyna",,E32. Biografijos ir memuarai,Asmenybės ir memuarai,K00425,Lentynoje,,,,,,,,,,,,
426.0,Chip Heath; Dan Heath,Made to Stick,,Anglų,Random House,,Verslas / komunikacija,,,,"Spinta C, 4 lentyna",,G40. Komunikacija ir rašymas,,K00426,Lentynoje,,,,,,,,,,,,
427.0,Leslie Gaines-Ross,CEO Capital,,Anglų,Wiley,,Vadyba / reputacija,,,,"Spinta C, 4 lentyna",,G37. Strategija ir vadyba,,K00427,Lentynoje,,,,,,,,,,,,
428.0,Michael Lewis,Moneyball,,Anglų,W. W. Norton,,Sportas / analitika,,,,"Spinta C, 4 lentyna",,G39. Analitika ir duomenys,,K00428,Lentynoje,,,,,,,,,,,,
429.0,Tom Peters,Re-imagine!,,Anglų,Dorling Kindersley,,Vadyba,,,,"Spinta C, 4 lentyna",,G37. Strategija ir vadyba,,K00429,Lentynoje,,,,,,,,,,,,
430.0,Sud. Rowan Gibson,Rethinking the Future,,Anglų,Nicholas Brealey,,Vadyba / ateitis,,,,"Spinta C, 4 lentyna",,G37. Strategija ir vadyba,,K00430,Lentynoje,,,,,,,,,,,,
431.0,Howard Schultz; Dori Jones Yang,Kava su meile: kaip Starbucks sukūrė kompaniją po puodelio,Pour Your Heart Into It,Lietuvių,,,Verslas / memuarai,,,,"Spinta C, 4 lentyna",,E32. Biografijos ir memuarai,Asmenybės ir memuarai,K00431,Lentynoje,,,,,,,,,,,,
432.0,Robert Spector,amazon.com: Sparti plėtra,amazon.com: Get Big Fast,Lietuvių,,,Verslas,,,,"Spinta C, 4 lentyna",,G37. Strategija ir vadyba,,K00432,Lentynoje,,,,,,,,,,,,
433.0,Seth Godin,Idėjų knyga,,Lietuvių,,,Verslas / marketingas,,,,"Spinta C, 4 lentyna",PATIKSLINTI originalo pavadinimą,G38. Marketingas ir prekės ženklai,,K00433,Lentynoje,,,,,,,,,,,,
434.0,Seth Godin,Ikaro apgaulė: kaip aukštai tu skrisi?,The Icarus Deception,Lietuvių,,,Verslas / marketingas,,,,"Spinta C, 4 lentyna",,G38. Marketingas ir prekės ženklai,,K00434,Lentynoje,,,,,,,,,,,,
435.0,Larry Farrell (?),The Entrepreneurial Attitude,,Anglų,McGraw-Hill,,Verslumas,,,,"Spinta C, 4 lentyna",PATIKSLINTI autorių,G37. Strategija ir vadyba,,K00435,Lentynoje,,,,,,,,,,,,
436.0,,Insight Inside,,Anglų,,,Verslas / marketingas,,,,"Spinta C, 4 lentyna",PATIKSLINTI autorių,G38. Marketingas ir prekės ženklai,,K00436,Lentynoje,,,,,,,,,,,,
437.0,Al Ries; Jack Trout,Marketingo karai,Marketing Warfare,Lietuvių,McGraw-Hill,,Marketingas,,,,"Spinta C, 4 lentyna",,G38. Marketingas ir prekės ženklai,,K00437,Lentynoje,,,,,,,,,,,,
438.0,Steven D. Levitt; Stephen J. Dubner,Keistonomika,Freakonomics,Lietuvių,,,Ekonomika,,,,"Spinta C, 4 lentyna",,F32. Ekonomika ir politinė ekonomija,★ pora: originalas + vertimas,K00438,Lentynoje,,,,,,,,,,,,
439.0,Kjell A. Nordström; Jonas Ridderstråle,Karaoke Capitalism,,Anglų,,,Verslas / ekonomika,,,,"Spinta C, 4 lentyna",,F32. Ekonomika ir politinė ekonomija,,K00439,Lentynoje,,,,,,,,,,,,
440.0,David Ogilvy,Reklamos žmogaus išpažintis,Confessions of an Advertising Man,Lietuvių,Baltos lankos,,Reklama / marketingas,,,,"Spinta C, 4 lentyna",,G38. Marketingas ir prekės ženklai,,K00440,Lentynoje,,,,,,,,,,,,
441.0,Dan Hill,Body of Truth,,Anglų,Wiley,,Marketingas / psichologija,,,,"Spinta C, 4 lentyna",,D23. Psichologija ir saviugda,Šiuolaikinė psichologija,K00441,Lentynoje,,,,,,,,,,,,
442.0,Ignas Staškevičius,Lietuvos verslo legendos,,Lietuvių,Sofoklis,,Verslas,,,,"Spinta C, 4 lentyna",PATIKSLINTI tikslų pavadinimą,G37. Strategija ir vadyba,,K00442,Lentynoje,,,,,,,,,,,,
443.0,Shakti Gawain,Visualización Creativa,Creative Visualization,Ispanų,New World Library,,Saviugda / ezoterika,,,,"Spinta C, 4 lentyna",,D22. Rytų praktikos ir ezoterika,Ezoterika ir praktikos,K00443,Lentynoje,,,,,,,,,,,,
444.0,Jan M. Malecki,A History of Kraków for Everyone,,Anglų,,,Istorija,,,,"Spinta C, 4 lentyna",,E31. Istorijos biblioteka,Šalių ir epochų istorijos,K00444,Lentynoje,,,,,,,,,,,,
445.0,H. Kardel,Adolfas Hitleris – Izraelio įkūrėjas,,Lietuvių,,,Istorija / publicistika,,,,"Spinta C, 4 lentyna",,E29. XX a. totalitarizmai ir karai,,K00445,Lentynoje,,,,,,,,,,,,
446.0,Richard Rogers; Anne Power,Mažos valstybės miestai,Cities for a Small Country,Lietuvių,,,Urbanistika,,,,"Spinta C, 4 lentyna",,"H48. Menas, kalbos, pomėgiai",Architektūra ir miestai,K00446,Lentynoje,,,,,,,,,,,,
447.0,Sofija Tyzenhauzaitė,Rinktinė / atsiminimai,,Lietuvių,,,Memuarai / proza,,,,"Spinta C, 4 lentyna",PATIKSLINTI tikslų pavadinimą,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K00447,Lentynoje,,,,,,,,,,,,
448.0,,Senovės istorikai (?),,Lietuvių,,,Istorija,,,,"Spinta C, 4 lentyna","PATIKSLINTI: ruda knyga, nugarėlė iš dalies įskaitoma",E31. Istorijos biblioteka,Šalių ir epochų istorijos,K00448,Lentynoje,,,,,,,,,,,,
449.0,Heinz Guderian,Kareivio atsiminimai,Erinnerungen eines Soldaten,Lietuvių,Briedis,,Memuarai,,,,"Spinta C, 5 lentyna",,E32. Biografijos ir memuarai,Asmenybės ir memuarai,K00449,Lentynoje,,,,,,,,,,,,
450.0,Timothy Ferriss,The 4-Hour Body,,Anglų,,,Saviugda / sveikata,,,,"Spinta C, 5 lentyna",,D23. Psichologija ir saviugda,Saviugda ★ pora: originalas + vertimas,K00450,Lentynoje,,,,,,,,,,,,
451.0,Arturo Pérez-Reverte,Būgno oda,La piel del tambor,Lietuvių,Alma littera,,Romanas,,,,"Spinta C, 5 lentyna",,B9. Šiuolaikinė pasaulio proza,Šiuolaikinis pasaulio romanas,K00451,Lentynoje,,,,,,,,,,,,
452.0,David Mitchell,Juodųjų gulbių slėnis,Black Swan Green,Lietuvių,Alma littera,,Romanas,,,,"Spinta C, 5 lentyna",,B9. Šiuolaikinė pasaulio proza,Šiuolaikinis pasaulio romanas,K00452,Lentynoje,,,,,,,,,,,,
453.0,Yuval Noah Harari,Homo Deus,Homo Deus,Lietuvių,Kitos knygos,2015.0,Negrožinė / istorija,,,,"Spinta C, 5 lentyna",Pirmojo (hebrajiško) leidimo metai; angliškas vertimas 2016; konkretus leidimas nenustatytas.,E31. Istorijos biblioteka,Šalių ir epochų istorijos ★ pora: originalas + vertimas,K00453,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,18.0
454.0,Yuval Noah Harari,21 pamoka XXI amžiui,21 Lessons for the 21st Century,Lietuvių,Kitos knygos,,Negrožinė,,,,"Spinta C, 5 lentyna",,A50. Lietuvių XX–XXI a. literatūra,Šiuolaikinė proza,K00454,Lentynoje,,,,,,,,,,,,
455.0,Steven Bartlett,The Diary of a CEO,,Anglų,,,Verslas / saviugda,,,,"Spinta C, 5 lentyna",,D23. Psichologija ir saviugda,Saviugda,K00455,Lentynoje,,,,,,,,,,,,
456.0,Douglas Adams,The Hitchhiker's Guide to the Galaxy,,Anglų,,,Mokslinė fantastika,,,,"Spinta C, 5 lentyna",,B11. SF aukso amžius,★ pora: originalas + vertimas,K00456,Lentynoje,,,,,,,,,,,,
457.0,James Joyce,Ulisas (I tomas),Ulysses,Lietuvių,,,Romanas,,,,"Spinta C, 5 lentyna",,A6. XX a. modernizmas,,K00457,Lentynoje,,,,,,,,,,,,
458.0,James Joyce,Ulisas (II tomas),Ulysses,Lietuvių,,,Romanas,,,,"Spinta C, 5 lentyna",,A6. XX a. modernizmas,,K00458,Lentynoje,,,,,,,,,,,,
459.0,René Descartes,Meditations on First Philosophy,Meditationes de prima philosophia,Anglų,,,Filosofija,,,,"Spinta C, 5 lentyna",,D19. Filosofijos klasika,Antika–Apšvieta,K00459,Lentynoje,,,,,,,,,,,,
460.0,Jonathan Haidt,The Happiness Hypothesis,,Anglų,,,Psichologija,,,,"Spinta C, 5 lentyna",,D23. Psichologija ir saviugda,Šiuolaikinė psichologija,K00460,Lentynoje,,,,,,,,,,,,
461.0,,History of Estonia,,Anglų,,,Istorija,,,,"Spinta C, 6 lentyna",PATIKSLINTI autorių,E31. Istorijos biblioteka,Šalių ir epochų istorijos,K00461,Lentynoje,,,,,,,,,,,,
462.0,William A. McClenaghan,Magruder's American Government,,Anglų,Allyn and Bacon,1954.0,Politologija,,,,"Spinta C, 6 lentyna",,F33. Geopolitika ir publicistika,,K00462,Lentynoje,,,,,,,,,,,,
463.0,Richard D. Heffner,A Documentary History of the United States,,Anglų,,,Istorija,,,,"Spinta C, 6 lentyna",,E31. Istorijos biblioteka,Šalių ir epochų istorijos,K00463,Lentynoje,,,,,,,,,,,,
464.0,,,,,,,,,,,"Spinta C, 6 lentyna",PATIKSLINTI: rudas senas tomas (nugarėlė neįskaitoma),"X. Ūkinė zona: žinynai, vadovėliai, periodika",,K00464,Lentynoje,,,,,,,,,,,,
465.0,,Lietuva / Lithuania: Aerodromų informacinis rinkinys (Airfield Guide),,Lietuvių / anglų,,,Aviacija / žinynas,,,,"Spinta C, 6 lentyna",Padėta gulsčiai,A50. Lietuvių XX–XXI a. literatūra,Šiuolaikinė proza,K00465,Lentynoje,,,,,,,,,,,,
466.0,,Aerodinamika ir skrydžių dinamika,,Lietuvių,,,Aviacija,,,,"Spinta C, 6 lentyna",Padėta gulsčiai,A50. Lietuvių XX–XXI a. literatūra,Šiuolaikinė proza,K00466,Lentynoje,,,,,,,,,,,,
